name,name,spearman,pval
TFC3,TFC3,-0.23846153846153853,0.13839061842750305
VPS8,VPS8,0.16022514071294564,0.3233392555717477
EFB1,EFB1,0.18949343339587246,0.24155621676445446
YAL004W,YAL004W,-0.07640045042297659,0.6393823684878589
SSA1,SSA1,-0.17767354596622892,0.2727162570128553
ERP2,ERP2,-0.04465290806754222,0.7843989449011584
FUN14,FUN14,0.06472795497185742,0.6915069657754842
SPO7,SPO7,0.09399624765478425,0.5639981480710234
MDM10,MDM10,-0.3973733583489682,0.011116049351770173
SWC3,SWC3,0.05121951219512196,0.7536162964015738
CYS3,CYS3,0.5206378986866792,0.0005730473860411229
DEP1,DEP1,0.31444652908067544,0.048141501330110886
SYN8,SYN8,0.23320825515947471,0.14755456798584154
NTG1,NTG1,-0.06848030018761728,0.6745825219016207
TPD3,TPD3,-0.11144465290806756,0.49358065798078776
PSK1,PSK1,0.018198874296435276,0.9112523040685303
LDS1,LDS1,-0.05054931636037898,0.7567417241017769
FUN30,FUN30,-0.09718574108818012,0.550787257824773
ATS1,ATS1,-0.0827392120075047,0.6117570499253207
CCR4,CCR4,0.07016885553470921,0.6670171719922171
FUN26,FUN26,-0.17898686679174486,0.2691294836025313
PMT2,PMT2,0.09474671669793623,0.5608765646643185
LTE1,LTE1,0.15497185741088182,0.3396619144920149
MAK16,MAK16,0.008442776735459663,0.9587641851465312
DRS2,DRS2,0.12120075046904316,0.45627971870914197
SAW1,SAW1,0.11951219512195123,0.4626245816795941
FRT2,FRT2,-0.07833388066218795,0.6309028908657428
MYO4,MYO4,0.06810506566604127,0.6762680398344609
SNC1,SNC1,0.13958724202626643,0.39031309590675867
GIP4,GIP4,0.0855534709193246,0.5996570050732759
PRP45,PRP45,-0.20600375234521578,0.2022037374759548
POP5,POP5,-0.16397748592870548,0.3119861146387602
FUN19,FUN19,-0.25440900562851787,0.11314981449860055
FUN12,FUN12,-0.04840525328330207,0.7667659205231773
RBG1,RBG1,0.05459662288930583,0.7379271189462737
YAL037W,YAL037W,0.01782363977485929,0.913075113633524
CDC19,CDC19,0.1709193245778612,0.29165654230762306
CYC3,CYC3,0.10994371482176361,0.49945498681392264
CLN3,CLN3,0.2157598499061914,0.18118156923275786
CDC24,CDC24,0.1737335834896811,0.2836641504524549
ERV46,ERV46,0.34540337711069424,0.029041059024142654
PTA1,PTA1,-0.2849906191369606,0.07467539771801777
GCV3,GCV3,0.7088180112570357,3.081893012431925e-07
YAL045C,YAL045C,0.0028752925685687322,0.9859513210333596
BOL3,BOL3,-0.06941838649155724,0.6703755932953981
SPC72,SPC72,-0.008630393996247657,0.9578486435859453
GEM1,GEM1,0.031045548400820994,0.8491768871767197
AIM2,AIM2,-0.48536585365853663,0.0015006477595226031
OAF1,OAF1,-0.09043151969981238,0.5789342610670631
FLC2,FLC2,-0.0001876172607879925,0.999083256819481
ACS1,ACS1,0.25797373358348974,0.10801742020744722
PEX22,PEX22,-0.18105065666041278,0.26355619200314034
GPB2,GPB2,0.23621013133208257,0.1422650625308011
CNE1,CNE1,0.008255159474671672,0.9596797789205158
ECM1,ECM1,-0.2859287054409006,0.07368284698726475
BDH1,BDH1,0.300750469043152,0.05933326357941534
BDH2,BDH2,0.03283302063789869,0.8406018967455076
GDH3,GDH3,0.012574242080193927,0.9386174479398817
FLO9,FLO9,0.24451116962686475,0.12836691640428124
YAL064W,YAL064W,0.0019829519106594256,0.9903110453133409
YAL065C,YAL065C,-0.12190979535354375,0.45362950591271656
YAL066W,YAL066W,,
SEO1,SEO1,-0.08463793097840903,0.6035819961286217
PAU8,PAU8,-0.08808600353897102,0.5888581053476756
YAL069W,YAL069W,0.1595261661334688,0.3254822763865669
NUP60,NUP60,-0.11500938086303941,0.47977274206873655
SWD1,SWD1,-0.10544090056285181,0.5172894060004158
RFA1,RFA1,0.04446529080675423,0.7852834716566883
SEN34,SEN34,0.2313320825515948,0.15093294703518415
YAR009C,YAR009C,0.10225140712945593,0.5301107241717837
YAR010C,YAR010C,0.2388367729831145,0.13775253938390425
BUD14,BUD14,-0.22420262664165103,0.16428714209587572
ADE1,ADE1,0.10712945590994372,0.5105646254108962
KIN3,KIN3,0.15103189493433397,0.35223058902960325
CDC15,CDC15,-0.10844277673545967,0.5053647463201393
PAU7,PAU7,-0.2834830992690136,0.0762923660943234
YAR023C,YAR023C,0.1378150821233354,0.3964172073232096
UIP3,UIP3,-0.05572232645403378,0.7327202413890777
YAR028W,YAR028W,0.07354596622889306,0.6519841937363078
YAR029W,YAR029W,-0.1456183174447023,0.36995416891123345
YAR030C,YAR030C,0.09176212214059536,0.5733382456313609
PRM9,PRM9,0.0827392120075047,0.6117570499253207
MST28,MST28,0.20393996247654786,0.2068607906530328
YAT1,YAT1,0.15797373358348968,0.33027358892072645
SWH1,SWH1,0.200750469043152,0.21420414682477634
YAR047C,YAR047C,0.11788193867886719,0.46879491861887834
FLO1,FLO1,0.08126439016264077,0.6181392451259844
YAR053W,YAR053W,-0.03397681620372047,0.8351242443465628
YAR060C,YAR060C,0.004718569884709979,0.9769470044782663
YAR061W,YAR061W,,
YAR062W,YAR062W,,
YAR064W,YAR064W,-0.2485074291405833,0.12204915074620717
YAR066W,YAR066W,,
YAR068W,YAR068W,-0.04398343349884478,0.7875564185842725
YAR069C,YAR069C,0.2621115741872761,0.10228390363499483
YAR070C,YAR070C,0.14565432560012367,0.3698345533223599
PHO11,PHO11,-0.07223264540337712,0.6578146430327496
IMD1,IMD1,0.07488001573757588,0.6460825542661288
