name,name,spearman,pval
TFC3,TFC3,-0.29320557491289206,0.06281539122050309
VPS8,VPS8,-0.1839721254355401,0.24955657904069292
EFB1,EFB1,0.5817073170731708,6.637097467752978e-05
YAL004W,YAL004W,0.3210686010392308,0.04067691587900533
SSA1,SSA1,-0.5574912891986064,0.00015279960604337473
ERP2,ERP2,-0.2722996515679443,0.08500380565072684
FUN14,FUN14,-0.22857142857142865,0.1505992070890866
SPO7,SPO7,-0.09024390243902441,0.574715784367521
MDM10,MDM10,0.09460342358379151,0.5562999067802412
SWC3,SWC3,0.12754835530796654,0.4267852612644777
CYS3,CYS3,0.8646341463414636,3.1936425400086113e-13
DEP1,DEP1,-0.02369337979094077,0.883100103776072
SYN8,SYN8,-0.032404181184669,0.8406015705913977
NTG1,NTG1,0.0907665505226481,0.5724934203086048
TPD3,TPD3,-0.47020905923344963,0.0019212057041263293
PSK1,PSK1,-0.28031358885017427,0.07587212366512586
LDS1,LDS1,-0.04386588683561025,0.7853732872667754
FUN30,FUN30,0.09477351916376309,0.5555870196765138
ATS1,ATS1,-0.1398954703832753,0.38300804793726373
CCR4,CCR4,0.037979094076655055,0.8136272542116401
FUN26,FUN26,-0.08222996515679444,0.6092722066278601
PMT2,PMT2,-0.19111498257839724,0.2313222950002785
LTE1,LTE1,-0.064808362369338,0.6872672287628555
MAK16,MAK16,-0.02909407665505227,0.8567051753883319
DRS2,DRS2,0.04233449477351917,0.7926987450382081
SAW1,SAW1,-0.1393728222996516,0.3848056662705035
FRT2,FRT2,-0.06104393189378116,0.7045854249100312
MYO4,MYO4,0.058536585365853676,0.7162032755220265
SNC1,SNC1,-0.08362369337979096,0.6031989279036312
GIP4,GIP4,-0.13919860627177702,0.38540597214952566
PRP45,PRP45,-0.060452961672473875,0.7073178556539552
POP5,POP5,-0.3071428571428572,0.050777189801084754
FUN19,FUN19,-0.27804878048780496,0.07837105178096386
FUN12,FUN12,0.21219512195121956,0.1828867374988938
RBG1,RBG1,0.3911149825783973,0.011454113213599699
YAL037W,YAL037W,-0.08797909407665506,0.5843910437246709
CDC19,CDC19,0.036062717770034856,0.8228773884322806
CYC3,CYC3,0.12003484320557495,0.4547388989890372
CLN3,CLN3,0.104006968641115,0.5175459326457309
CDC24,CDC24,-0.06829268292682927,0.6713767654169092
ERV46,ERV46,-0.21411149825783976,0.17887272501970033
PTA1,PTA1,-0.21864111498257843,0.16963622364094472
GCV3,GCV3,-0.8318815331010454,1.603111203900979e-11
YAL045C,YAL045C,0.0,1.0
BOL3,BOL3,-0.26080139372822303,0.09956999180444946
SPC72,SPC72,0.032404181184669,0.8406015705913977
GEM1,GEM1,0.09071180482963048,0.5727260217649655
AIM2,AIM2,-0.0980836236933798,0.5418000793619503
OAF1,OAF1,-0.09616724738675961,0.5497619727555405
FLC2,FLC2,-0.09634146341463416,0.5490358810363665
ACS1,ACS1,0.11768805272716604,0.46366867723621075
PEX22,PEX22,-0.03710801393728223,0.8178288441839181
GPB2,GPB2,-0.2775261324041813,0.07895676625387517
CNE1,CNE1,-0.14250871080139377,0.374094364817385
ECM1,ECM1,-0.010104529616724742,0.9500044386075883
BDH1,BDH1,-0.3602787456445994,0.020674426726401053
BDH2,BDH2,-0.10640523885924635,0.5078818463667851
GDH3,GDH3,0.33458030211271533,0.03250411241276249
FLO9,FLO9,0.05975609756097563,0.710544559527578
YAL064W,YAL064W,0.10826465739552028,0.5004522713391231
YAL065C,YAL065C,0.4413073717994333,0.0038739849786206316
YAL066W,YAL066W,,
SEO1,SEO1,0.09216258462645935,0.5665766217523538
PAU8,PAU8,-0.07855826569370973,0.625395432835528
YAL069W,YAL069W,0.21380899352993957,0.17950212539583416
NUP60,NUP60,0.16219512195121955,0.3109806554412506
SWD1,SWD1,0.08902439024390245,0.5799164920708009
RFA1,RFA1,-0.18484320557491293,0.247282673898261
SEN34,SEN34,-0.13954703832752616,0.38420591013566163
YAR009C,YAR009C,0.7156794425087109,1.445727583723691e-07
YAR010C,YAR010C,0.5466898954703834,0.00021718131941324557
BUD14,BUD14,-0.019163763066202093,0.9053355848196024
ADE1,ADE1,-0.41167247386759587,0.007490773184305285
KIN3,KIN3,-0.2686411149825785,0.08944655104408941
CDC15,CDC15,-0.35487804878048784,0.022802833086357988
PAU7,PAU7,-0.034218926729499215,0.8317995598262014
YAR023C,YAR023C,-0.13274314247010965,0.4080354588777497
UIP3,UIP3,-0.4141114982578398,0.007110379270534961
YAR028W,YAR028W,0.07944250871080141,0.6214963779435998
YAR029W,YAR029W,0.25000000000000006,0.11492787448834067
YAR030C,YAR030C,-0.16235012338103938,0.31051224917745823
PRM9,PRM9,0.07421602787456447,0.6446872867313036
MST28,MST28,-0.09494773519163764,0.554857308025225
YAT1,YAT1,-0.1860708220764076,0.24410178605069707
SWH1,SWH1,0.1545296167247387,0.33470328492199264
YAR047C,YAR047C,0.13155395113742266,0.41228549927834124
FLO1,FLO1,0.11212048881163801,0.48522414781398326
YAR053W,YAR053W,0.2635677211646829,0.09590217879979364
YAR060C,YAR060C,0.14699368305183344,0.35908676315889865
YAR061W,YAR061W,,
YAR062W,YAR062W,0.05345224838248489,0.7399540091036262
YAR064W,YAR064W,-0.2004459314343183,0.20890305724751057
YAR066W,YAR066W,-0.09354143466934856,0.5607604718933056
YAR068W,YAR068W,0.3298475258658865,0.03519732516564214
YAR069C,YAR069C,0.013363062095621223,0.9339129050834334
YAR070C,YAR070C,-0.17371980724307587,0.2773750647123521
PHO11,PHO11,-0.31637630662020916,0.04387917022229372
