name,Mig3Full_HOdMig3_D04,Mig3Full_HOdMig3_F10,Mig3Full_HOdMig3_C05,Mig3Full_HOdMig3_A04,Mig3Full_HOdMig3_H11,Mig3Full_HOdMig3_A02,Mig3Full_HOdMig3_A08,Mig3Full_HOdMig3_B02,Mig3Full_HOdMig3_B01,Mig3Full_HOdMig3_E07,Mig3Full_HOdMig3_E09,Mig3Full_HOdMig3_A10,Mig3Full_HOdMig3_D05,Mig3Full_HOdMig3_D11,Mig3Full_HOdMig3_D08,Mig3Full_HOdMig3_E02,Mig3Full_HOdMig3_C02,Mig3Full_HOdMig3_B06,Mig3Full_HOdMig3_D03,Mig3Full_HOdMig3_G02,Mig3Full_HOdMig3_G09,Mig3Full_HOdMig3_F12,Mig3Full_HOdMig3_A12,Mig3Full_HOdMig3_H08,Mig3Full_HOdMig3_TEF,Mig3Full_HOdMig3_H02,Mig3Full_HOdMig3_F01,Mig3Full_HOdMig3_E06,Mig3Full_HOdMig3_H05
YPR195C,0.0,0.0,0.2849870078666512,1.502701370043595,1.1657110982074306,0.0,1.6945360428809626,0.0,0.0,0.0,1.417133814771836,2.1206863236891125,0.0,0.4117538179673681,0.0,1.7275324217852692,0.0,0.0,0.0,0.0,1.7662248081384535,0.0,0.0,0.8421724013359744,0.0,0.7333561620174661,1.7933667774033746,0.0,0.0
YPR196W,2.481350725610923,2.3819493299466563,1.8699495085878075,1.502701370043595,2.1657110982074306,3.1258851465552,1.6945360428809626,1.9720872819240505,2.6740610226801675,2.127642433654949,2.002096315492992,2.1206863236891125,3.4101572708125425,2.7336819128547303,1.2130691389097146,1.7275324217852692,1.7531030907019791,2.9342843221098387,1.8571160882562463,1.6963022365673142,2.3511873088596102,3.576885599892967,3.204922747397979,0.8421724013359744,3.529139362015824,3.3183186627386223,2.7933667774033744,2.895897411279853,2.0963857955042005
YPR197C,0.0,0.0,0.0,0.0,0.0,0.0,1.6945360428809626,0.0,0.0,0.0,0.417133814771836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11745398125567,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SGE1,5.355819843527064,5.18930425200426,5.454912009308964,5.257588872207064,5.294994115152397,5.50439676980893,5.449423545044431,5.087564499343986,5.481415944737772,5.034533029263468,4.587058816214149,6.027576919297631,4.995119771533699,5.11219353610846,4.913508857050807,5.534887343842874,5.075031185589341,5.104209323552151,4.66447101031385,5.281264737288471,5.158542230917214,5.287378982697982,5.098007543481467,5.749062996944493,5.898373171681542,5.433795880158558,5.74756308779025,5.097531272449503,5.266310796946513
ARR1,4.218316319777129,5.1368368321101245,4.606915102754013,4.962132988680892,4.809567287982155,3.803957051667838,5.218097998937975,4.4745876224532335,4.259023523401324,3.712604934376105,4.739061909659198,3.9280412457467166,4.410157270812543,2.996716318688524,4.913508857050807,4.049460516672632,3.338065591423135,3.5192468228309943,3.6644710103138505,4.8662272380096265,3.088152903025816,4.761310171030394,4.856999443977672,3.8421724013359744,4.26610495618203,3.3183186627386223,1.7933667774033746,5.033400935029787,5.211863012924136
ARR2,2.481350725610923,2.3819493299466563,2.606915102754013,0.502701370043595,0.1657110982074305,2.803957051667838,2.2794985436021187,2.3871247812028944,0.0,0.0,2.002096315492992,0.0,0.0,0.4117538179673681,2.2130691389097144,2.727532421785269,3.338065591423135,2.9342843221098387,0.0,0.0,3.9361498095807663,2.11745398125567,1.9825303260615308,1.8421724013359744,0.9441768612946676,0.0,1.7933667774033746,0.0,2.8333513896704066
ARR3,3.481350725610923,1.3819493299466563,1.8699495085878075,1.502701370043595,1.7506735989285864,0.0,0.6945360428809626,1.9720872819240505,2.6740610226801675,1.127642433654949,2.417133814771836,2.705648824410269,3.4101572708125425,2.996716318688524,1.2130691389097146,0.0,2.753103090701979,1.9342843221098387,2.8571160882562463,0.6963022365673142,1.7662248081384535,2.924808903313274,2.3975678253403747,3.4271349020571305,2.529139362015824,3.54071108407507,1.7933667774033746,0.5739693163924904,2.8333513896704066
YPR202W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1174539812556699,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YPR203W,0.0,0.0,0.2849870078666512,0.0,0.0,0.0,0.0,0.3871247812028942,0.0,0.0,0.0,1.1206863236891125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1174539812556699,0.3975678253403746,0.0,0.0,0.0,0.0,0.0,0.5114232947830442
YPR204W,5.651275727053235,5.774266752725416,5.239183318253526,5.409591965652114,5.1199074085943055,5.1258851465552,5.864461044323275,5.142012283366363,4.481415944737772,4.712604934376105,5.46152793413029,4.290611325131425,4.995119771533699,5.166641320130837,4.213069138909715,5.049460516672632,5.338065591423135,6.457846278166851,5.179044183143608,5.451189738730783,5.088152903025816,5.402856200117919,5.4419619446988285,4.427134902057131,5.529139362015823,5.1256735847962265,5.880829618653714,5.381324238450095,5.64070631172801
TIM10,9.292993006071626,9.109869784509856,9.170683381206048,9.3036012699639,9.323058033570272,9.143807054552465,9.00741899816532,9.07712275262234,8.959463241542416,9.138869689078204,9.33301319360761,9.202835365042985,8.767709275430626,9.051998754189714,9.178853423571802,8.814995263035609,9.047723839593608,8.989566757611028,9.095520827581325,9.135094089145577,9.07910776342281,9.218116320260869,9.059345923112362,9.168601888458278,9.43201689511772,9.146984091041638,8.953238114181763,9.155169898317448,9.115049639769236
MOB2,4.803278820498285,4.381949329946656,5.191877603475169,4.895018792822356,4.750673598928587,5.611311973725442,5.086853465659723,5.431518900561348,4.99598911756753,5.034533029263468,4.739061909659198,4.290611325131425,5.147122864978749,4.581678819409681,4.382994140352027,4.534887343842874,5.453542808843071,4.934284322109838,5.442078588977402,3.696302236567314,4.466664526279546,4.924808903313274,5.098007543481467,4.427134902057131,4.944176861294667,4.903281163459779,5.185684200182135,4.381324238450095,4.833351389670407
