,spearman,pval,FDR
TFC3,-0.0803014342435783,0.6131900710455065,False
VPS8,0.0146665586257191,0.9265498233333432,False
EFB1,-0.5851227615266186,4.704779805657598e-05,True
YAL004W,0.0379118717500098,0.8115958170869233,False
SSA1,0.7752208086864922,1.668455012661668e-09,True
ERP2,-0.3125354509359047,0.0438911422219449,False
FUN14,-0.0355724819706668,0.8230300734646059,False
SPO7,0.0302244550684709,0.8493021891655947,False
MDM10,0.3686087026983227,0.016304586972612,False
SWC3,0.3071874240337088,0.0478319240074898,False
CYS3,-0.0170974799448991,0.9144175763989728,False
DEP1,-0.0593955108986305,0.7086717867304642,False
SYN8,-0.1631148205169759,0.3020085089876902,False
NTG1,0.1556599951381573,0.3249359717462594,False
TPD3,0.1222753423547524,0.4404570802632325,False
PSK1,0.178996839802285,0.2567050212146048,False
LDS1,0.1002329963990589,0.5276651706056407,False
FUN30,0.2827161494206304,0.0696583361383906,False
ATS1,0.2293979418199497,0.1439134288298177,False
CCR4,-0.3363584798638684,0.0294085080891093,False
FUN26,0.0028360748723766,0.9857782981979716,False
PMT2,-0.0623126164816465,0.6950388665535251,False
LTE1,-0.0274694109067336,0.8629012873756071,False
MAK16,0.024390243902439,0.8781464830318697,False
DRS2,-0.0083461631958512,0.9581638892874312,False
SAW1,-0.1135240256057045,0.4740926283072834,False
FRT2,0.2580828133862734,0.0989058683279164,False
MYO4,-0.4985819625638117,0.0007778991438013,True
SNC1,0.52791507981525,0.0003268630349868,True
GIP4,0.2613240418118467,0.0945928132550634,False
PRP45,-0.0350862977068308,0.8254110271638017,False
POP5,0.2264808362369338,0.149221690961409,False
FUN19,0.5425006077303298,0.0002060751802848,True
FUN12,-0.1511222753423547,0.3394110442177414,False
RBG1,-0.2375010128838829,0.1299002130366679,False
YAL037W,-0.1614942063041893,0.3069023684072064,False
CDC19,-0.8103881371039625,7.888471216221629e-11,True
CYC3,0.5857710072117333,4.5928594259534456e-05,True
CLN3,0.3768738351835345,0.0138866734206615,False
CDC24,0.0521027469410906,0.7431408897059624,False
ERV46,-0.1460983712827161,0.3558932308071768,False
PTA1,-0.0608540636901385,0.7018437885871385,False
GCV3,-0.533263106717446,0.000276671294127,True
YAL045C,0.2928554094909154,0.0598167129634413,False
BOL3,0.2668341301353212,0.0875951165599657,False
SPC72,-0.2755854468843692,0.0773147066938716,False
GEM1,-0.2775751718122634,0.075114893743098,False
AIM2,-0.0563163438943359,0.723160056665483,False
OAF1,0.1250303865164897,0.4301475094576793,False
FLC2,-0.0274694109067336,0.8629012873756071,False
ACS1,0.1443156956486508,0.3618564642753068,False
PEX22,-0.126326877886719,0.425342990483855,False
GPB2,0.1678146017340572,0.2881004445418897,False
CNE1,0.1185479296653432,0.4546196986401705,False
ECM1,0.0457823515112227,0.7734229719695231,False
BDH1,0.7050482132728305,1.8612707041078665e-07,True
BDH2,0.6000324122842557,2.6685424297120356e-05,True
GDH3,0.052426869783648,0.7415977878634155,False
