name,name,spearman,pval
TFC3,TFC3,-0.014634146341463419,0.9276426183630366
VPS8,VPS8,0.08310104529616727,0.6054733411875973
EFB1,EFB1,-0.49337979094076656,0.0010463000877403226
YAL004W,YAL004W,0.1572347395238166,0.32620692580012445
SSA1,SSA1,0.6674216027874565,1.8779911646771056e-06
ERP2,ERP2,0.14233449477351917,0.37468474430440424
FUN14,FUN14,0.2588850174216028,0.10217325329129477
SPO7,SPO7,0.0348432055749129,0.8287762604741155
MDM10,MDM10,0.18031358885017423,0.25926000607839245
SWC3,SWC3,-0.0681303373298018,0.6721140908794836
CYS3,CYS3,0.625261324041812,1.2389252491833581e-05
DEP1,DEP1,-0.30592334494773527,0.05175011980698401
SYN8,SYN8,0.01829268292682927,0.9096203575691292
NTG1,NTG1,0.04634146341463416,0.7735700858323896
TPD3,TPD3,-0.0006968641114982581,0.996549869446191
PSK1,PSK1,0.3141114982578398,0.04549636340454513
LDS1,LDS1,0.1514251476720489,0.3446211275142437
FUN30,FUN30,-0.11324041811846691,0.4808467777856543
ATS1,ATS1,-0.026480836236933803,0.8694595012468752
CCR4,CCR4,-0.27073170731707324,0.08688636294068379
FUN26,FUN26,0.17874564459930317,0.2634944576330896
PMT2,PMT2,0.0027874564459930322,0.9862000976766172
LTE1,LTE1,0.053310104529616736,0.7406215679552086
MAK16,MAK16,-0.1977351916376307,0.2152539337855212
DRS2,DRS2,-0.1104529616724739,0.4917800847953582
SAW1,SAW1,0.18623693379790945,0.24367350323707368
FRT2,FRT2,-0.009866491263936654,0.9511807829584494
MYO4,MYO4,0.2853658536585366,0.07052275690100143
SNC1,SNC1,0.17526132404181188,0.2730677037703871
GIP4,GIP4,0.10313588850174217,0.5210785376613856
PRP45,PRP45,-0.007665505226480838,0.9620621978789157
POP5,POP5,0.21132404181184672,0.18473233798068922
FUN19,FUN19,0.11428571428571432,0.4767798463822097
FUN12,FUN12,0.2306620209059234,0.14679925385958176
RBG1,RBG1,-0.2179442508710802,0.17103439250424718
YAL037W,YAL037W,-0.322822299651568,0.03953009177268872
CDC19,CDC19,-0.4834494773519164,0.0013646413162961477
CYC3,CYC3,0.09738675958188156,0.5446889049369341
CLN3,CLN3,0.6627177700348433,2.3522420950731024e-06
CDC24,CDC24,0.03571428571428572,0.8245618140648084
ERV46,ERV46,0.11724738675958188,0.4653558576154423
PTA1,PTA1,-0.28937282229965167,0.06649529271716707
GCV3,GCV3,0.5782229965156797,7.513632222536654e-05
YAL045C,YAL045C,0.1492022309732014,0.3518321541400772
BOL3,BOL3,0.34634146341463423,0.026538339587008904
SPC72,SPC72,0.2809355810844637,0.07519688602383928
GEM1,GEM1,-0.11556064629164824,0.4718440807117287
AIM2,AIM2,-0.5344947735191639,0.00031849193821187176
OAF1,OAF1,-0.0750871080139373,0.6407982111921012
FLC2,FLC2,0.18937282229965158,0.23568339513001615
ACS1,ACS1,-0.11010452961672476,0.4931557021010501
PEX22,PEX22,-0.25487804878048786,0.10778426287196742
GPB2,GPB2,-0.06811846689895472,0.6721680147524057
CNE1,CNE1,-0.09773519163763067,0.5432435733931629
ECM1,ECM1,0.006271777003484322,0.9689562624854111
BDH1,BDH1,0.6242160278745645,1.2937055344612008e-05
BDH2,BDH2,-0.006451615355176417,0.9680665578517239
GDH3,GDH3,0.017704545511371926,0.9125147947512569
FLO9,FLO9,0.13777779085705855,0.390322251959607
YAL064W,YAL064W,-0.1351158912876478,0.399630876799676
YAL065C,YAL065C,-0.06912043172762208,0.6676221128038922
YAL066W,YAL066W,,
SEO1,SEO1,-0.35759554520270626,0.021710080612667822
PAU8,PAU8,-0.1145822329925347,0.4756294866682702
YAL069W,YAL069W,,
NUP60,NUP60,0.06167247386759582,0.7016832914576352
SWD1,SWD1,-0.4560975609756099,0.002726222005993629
RFA1,RFA1,-0.09512195121951221,0.5541280469047865
SEN34,SEN34,-0.09059233449477352,0.5732337724869312
YAR009C,YAR009C,-0.5381533101045297,0.0002843676723782541
YAR010C,YAR010C,-0.5189895470383277,0.0005076857482118894
BUD14,BUD14,-0.22491289198606274,0.15742166135185573
ADE1,ADE1,0.37508710801393735,0.01567430776253276
KIN3,KIN3,0.5385017421602789,0.00028129589300716435
CDC15,CDC15,-0.16271777003484325,0.3094030305160808
PAU7,PAU7,-0.12400040371947031,0.43986346649375274
YAR023C,YAR023C,-0.02278835022522379,0.8875362931586062
UIP3,UIP3,0.41898954703832764,0.006399311961781474
YAR028W,YAR028W,0.05731707317073171,0.721877009021699
YAR029W,YAR029W,0.0838125121627485,0.6023781522919719
YAR030C,YAR030C,0.06527819306560413,0.6851165916913138
PRM9,PRM9,-0.08623693379790942,0.5918827206145341
MST28,MST28,-0.02125435540069687,0.8950631543275183
YAT1,YAT1,0.0818815331010453,0.6107945994147315
SWH1,SWH1,0.5585365853658537,0.00014759279001240797
YAR047C,YAR047C,-0.28816095832925204,0.06769366612704227
FLO1,FLO1,-0.011328977110321069,0.9439551389559866
YAR053W,YAR053W,-0.20127883510401814,0.2069781588472039
YAR060C,YAR060C,-0.1542771367886164,0.33550321296612706
YAR061W,YAR061W,,
YAR062W,YAR062W,,
YAR064W,YAR064W,0.22717205562556078,0.1531827092310408
YAR066W,YAR066W,,
YAR068W,YAR068W,-0.4004373256219335,0.009477847158575097
YAR069C,YAR069C,-0.1870828693386971,0.24150031431435817
YAR070C,YAR070C,,
PHO11,PHO11,-0.7810104529616726,1.7009048192914492e-09
IMD1,IMD1,-0.05897540636990787,0.7141653374825665
YAR075W,YAR075W,-0.2796289039631406,0.07662090694162983
ECM15,ECM15,0.20940766550522652,0.18883918866787763
HTB2,HTB2,-0.31933797909407674,0.041835066955300156
HTA2,HTA2,0.21567944250871085,0.17563567902995997
UTP20,UTP20,-0.42055749128919867,0.006184212299597275
