name,0
TFC3,541.131558472237
VPS8,553.945547095986
EFB1,1039.3093442657641
YAL004W,0.0
SSA1,1039.3093442657641
ERP2,492.71717902478497
FUN14,858.2172075529982
SPO7,530.4963100566173
MDM10,530.4963100566173
SWC3,1274.64629193285
CYS3,408.09109880149765
DEP1,799.2059172456749
SYN8,799.2059172456749
NTG1,288.25203832750435
TPD3,522.1241778261829
PSK1,557.3124441656561
LDS1,0.0
FUN30,1138.2394097638066
ATS1,1138.2394097638066
CCR4,1197.7084517236715
FUN26,776.0083457710217
PMT2,368.3754813184492
LTE1,523.3322591264551
MAK16,729.245268807004
DRS2,886.0277333394693
SAW1,511.4849760820875
FRT2,638.5311774468992
MYO4,638.5311774468992
SNC1,842.9758173171183
GIP4,842.9758173171183
PRP45,674.2710841237517
POP5,806.4998209347386
FUN19,806.4998209347386
FUN12,0.0
RBG1,1124.9293401313569
YAL037W,0.0
CDC19,882.0048800835607
CYC3,509.1801186647238
CLN3,813.9981140038121
CDC24,1251.2346129426749
ERV46,876.2795970588415
PTA1,876.2795970588415
GCV3,548.7188027800594
YAL045C,0.0
BOL3,751.4035195387817
SPC72,1407.439011816221
GEM1,578.5219104046785
AIM2,631.6559346865251
OAF1,683.597336150439
FLC2,623.5360806203229
ACS1,623.5360806203229
PEX22,738.8344980320197
GPB2,447.97408196306174
CNE1,419.39487316058637
ECM1,356.4257978378483
BDH1,808.9925324596372
BDH2,1086.4955076031479
GDH3,405.14472548272784
FLO9,0.0
YAL064W,0.0
YAL065C,0.0
YAL066W,0.0
SEO1,776.357338959535
PAU8,0.0
YAL069W,0.0
NUP60,777.2791002833997
SWD1,571.9688344760451
RFA1,691.9210460831436
SEN34,691.9210460831436
YAR009C,0.0
YAR010C,0.0
BUD14,1445.2335155551891
ADE1,1445.2335155551891
KIN3,725.6096188914556
CDC15,776.9192509922693
PAU7,0.0
YAR023C,947.8326731647437
UIP3,746.4393291111794
YAR028W,393.90259310231966
YAR029W,236.08842094298492
YAR030C,0.0
PRM9,0.0
MST28,527.2401269161061
YAT1,549.5965455134567
SWH1,546.6411309571188
[],0.0
YAR047C,0.0
FLO1,0.0
YAR053W,0.0
YAR060C,0.0
YAR061W,0.0
YAR062W,0.0
YAR064W,0.0
YAR066W,0.0
YAR068W,0.0
YAR069C,0.0
YAR070C,0.0
PHO11,0.0
IMD1,0.0
YAR075W,0.0
ECM15,814.9020545714206
HTB2,561.077607945216
HTA2,561.077607945216
UTP20,697.411862342819
PDR3,861.7300956534077
LDB7,861.7300956534077
SLA1,446.69526031651606
HIR1,379.26219985083486
ALK2,1011.5972580483474
LAA2,1011.5972580483474
SCT1,503.4128320783708
YBL012C,0.0
FMT1,1051.4783683296446
RRN6,1051.4783683296446
ACH1,795.7286492775867
FUS3,0.0
PEP1,1179.6140629651316
POP8,685.9704914467458
APN2,658.1826776073663
RFT1,939.7611157345093
HAP3,939.7611157345093
PIM1,1165.5718048364406
MCM2,660.1223891702884
NCL1,503.9193699235357
RRN10,234.57406900193462
LSM2,601.6487419264178
RPL19B,1324.6282251808175
YBL028C,1324.6282251808175
YBL029W,274.7605909641922
PET9,784.1490240622843
SHE1,1017.6812949841924
HEK2,501.1962964620501
RIB1,501.1962964620501
STU1,723.5865692447076
POL12,521.3704775925039
YBL036C,436.44575201429313
APL3,1768.2784011863366
MRPL16,345.30413605632464
URA7,345.30413605632464
ERD2,1038.7669450781098
PRE7,439.70618815866067
FUI1,432.1906165991078
ECM13,614.7974691885863
YBL044W,0.0
COR1,739.1342301552769
PSY4,254.28989857270534
EDE1,254.28989857270534
RRT1,0.0
MOH1,0.0
SEC17,742.9879563928689
PIN4,742.9879563928689
SAS3,733.4198136898956
YBL053W,0.0
TOD6,454.04580984010073
YBL055C,454.04580984010073
PTC3,457.97968371437946
PTH2,457.97968371437946
SHP1,0.0
IAI11,1033.7559976898738
YEL1,1213.9288963156048
SKT5,1213.9288963156048
YBL062W,0.0
KIP1,422.8352902013216
PRX1,422.8352902013216
YBL065W,0.0
SEF1,450.97939766611944
UBP13,744.0331398240602
PRS4,430.4709765564131
AST1,280.1663910906674
YBL070C,0.0
YBL071C,280.1663910906674
RPS8A,790.289454409756
YBL073W,0.0
AAR2,678.4903043975931
SSA3,425.7858512981311
ILS1,250.01456341425637
YBL077W,0.0
ATG8,652.819287967184
NUP170,391.9618742131868
PET112,391.9618742131868
YBL081W,998.3805460253573
ALG3,998.3805460253573
YBL083C,998.3805460253573
CDC27,416.6043140742904
BOI1,800.7798035426706
YBL086C,862.0434763886001
RPL23A,453.06352053744047
TEL1,1059.702391329707
AVT5,583.9910437849635
MRP21,574.976125003256
MAP2,574.976125003256
RPL32,984.4129389629351
ROX3,346.76843117809227
YBL094C,984.4129389629351
MRX3,547.6604722364482
YBL096C,0.0
BRN1,283.79745296202384
BNA4,717.838921363269
ATP1,664.3256760756303
YBL100C,0.0
ECM21,634.3870904774398
SFT2,551.9647837895413
RTG3,551.9647837895413
SEA4,337.3697277434071
PKC1,339.08883385475133
SRO77,433.5408975705649
MIX23,490.9073283703012
YBL108W,0.0
YBL109W,0.0
YBL111C,0.0
YBL112C,0.0
YBL113C,0.0
NTH2,567.2496738276375
RER2,953.3598550118795
COQ1,953.3598550118795
GPI18,203.11835345223238
RCR1,203.11835345223238
UGA2,666.9644961089882
DSF2,842.5059119681782
FLR1,910.2396111805408
HHF1,469.5481710159461
HHT1,469.5481710159461
IPP1,831.9333491270056
YBR012C,0.0
YBR013C,0.0
GRX7,974.317494492914
MNN2,641.6995109646346
