name,Med15_mnase_native_1,Med15_mnase_native_2,Med15_mnase_native_3,Gal4DBDGal11_dGal4_gal11_1,Gal4DBDGal11_dGal4_gal11_2,Gcn4DBDGal11_dGcn4_gal11_1,Gcn4DBDGal11_dGcn4_gal11_2,Gcn4DBDGal11_dGcn4_gal11_3,Gcn4DBDGal11_dGcn4_gal11_4,Mig3DBDGal11_dMig3_gal11_1,Mig3DBDGal11_dMig3_gal11_2,Rpn4DBDGal11_dRpn4_gal11_1,Rpn4DBDGal11_dRpn4_gal11_2,Yap1DBDGal11_dYap1_gal11_1,Yap1DBDGal11_dYap1_gal11_2
TFC3,145.17145232424332,192.02751837828586,55.37987827502756,50.5313370086459,0.0,51.21400837073269,122.27704309654382,95.15823029481209,0.0,83.63071279075999,79.99904915415863,119.93223828536877,161.23782276536974,25.72593221131109,96.72991337396577
VPS8,1202.4302111705003,1745.7047125298714,461.4989856252295,0.0,238.31661721001066,477.51989156860316,555.8047413479266,396.4926262283837,824.2385478235569,272.19872849966777,595.6639157798825,878.2916440090138,682.0034169999857,363.8010615740962,466.328783483306
EFB1,10798.409847633615,12600.699015586993,9074.74823552156,1232.658372483635,800.743833825636,1157.3888371894022,1257.9713979174735,2661.907313360558,2220.4486939852786,2394.879502644491,2482.3947373896494,3800.125656276931,3566.2671215812684,1227.8285828125747,2592.7880361671814
SSA1,10798.409847633615,12600.699015586993,9074.74823552156,1232.658372483635,800.743833825636,1157.3888371894022,1257.9713979174735,2661.907313360558,2220.4486939852786,2394.879502644491,2482.3947373896494,3800.125656276931,3566.2671215812684,1227.8285828125747,2592.7880361671814
ERP2,377.4457760430326,116.88631553460877,318.4343000814084,0.0,0.0,90.60939942514246,103.93548663206226,452.0015939003574,0.0,74.33841136956443,125.71279152796356,469.7345999510277,349.3486159916344,64.31483052827772,131.90442732813514
FUN14,307.93944432415253,0.0,1057.2522216141622,0.0,550.5113857551246,350.9771203029233,0.0,0.0,157.35463185722452,118.26565445157978,319.9961966166345,318.00214696878083,363.3958505507387,436.56127388891554,251.81754308098525
SPO7,167.96696963135594,96.60026077240396,0.0,0.0,636.9553223613012,45.58144419518485,70.73878526246338,619.3149285716078,0.0,161.27134697942697,92.56088331886122,115.63714435228393,272.0610645834407,0.0,0.0
MDM10,167.96696963135594,96.60026077240396,0.0,0.0,636.9553223613012,45.58144419518485,70.73878526246338,619.3149285716078,0.0,161.27134697942697,92.56088331886122,115.63714435228393,272.0610645834407,0.0,0.0
CYS3,1627.6799199990921,872.8523562649358,1950.8820755975617,2067.191059444606,0.0,232.79094713969405,111.16094826958532,1027.2763497735396,187.32694268717202,366.06035901679456,374.02152851294943,931.2920018371437,748.1679276044619,253.3614535962456,219.84071221355856
DEP1,200.43395784412297,726.2167533215338,2752.6093343800676,209.3013958937996,390.8956585243489,179.49379356151195,0.0,246.34157250875916,2014.2634334386332,205.2737197581661,246.15092047433419,765.8394900372415,709.5895306612057,426.22846267260974,218.53987959691025
SYN8,200.43395784412297,726.2167533215338,2752.6093343800676,209.3013958937996,390.8956585243489,179.49379356151195,0.0,246.34157250875916,2014.2634334386332,205.2737197581661,246.15092047433419,765.8394900372415,709.5895306612057,426.22846267260974,218.53987959691025
NTG1,0.0,929.7775099343881,0.0,0.0,0.0,250.69794307351668,0.0,0.0,0.0,0.0,0.0,477.0032204531713,0.0,272.8507961805722,0.0
TPD3,79.70197382507477,137.5133123936574,171.02609467287917,0.0,0.0,56.7757106372376,75.52405603021826,73.46775133055345,0.0,102.03311364450019,136.46896620415293,236.63100936206337,69.15837986259731,185.3780409344476,90.52264620558293
PSK1,251.63051736202183,484.2433072148078,179.98460439383953,252.65668504322954,78.64448367930352,153.6420251121981,183.4155646448158,523.3702666214665,329.69541912942276,80.5332789836948,196.5690922073612,129.92659147581617,131.00573099686292,227.24573453324797,211.04708372501622
FUN30,230.9545832431144,0.0,0.0,0.0,0.0,219.36070018932708,243.16457433971783,425.77901339298023,0.0,172.47074607522052,381.8136436903025,178.87620766993922,334.00353910913475,0.0,384.72124637372747
ATS1,230.9545832431144,0.0,0.0,0.0,0.0,219.36070018932708,243.16457433971783,425.77901339298023,0.0,172.47074607522052,381.8136436903025,178.87620766993922,334.00353910913475,0.0,384.72124637372747
CCR4,783.845858279661,676.2018254068278,1281.517844380803,0.0,0.0,455.81444195184844,282.9551410498535,0.0,0.0,376.29980961866295,502.4733665881038,318.00214696878083,272.06106458344067,0.0,406.97784740361254
FUN26,278.9569083877617,0.0,285.04349112146537,1872.6319009086428,420.97929498921303,81.10815805319658,100.69874137362434,391.8280070962851,0.0,89.27897443893768,216.46801535831156,185.18948558770177,539.435362928259,0.0,90.52264620558293
PMT2,1181.224124894698,1198.834005483167,1192.7973782313627,0.0,0.0,14.141935250300941,395.048908465757,853.984118030365,0.0,444.7597261426932,336.40625798159016,322.8944876913774,602.9192090585407,292.440084111485,394.58589371664357
LTE1,0.0,273.41828195230124,0.0,0.0,289.74283460796033,32.253536535774074,0.0,194.76830762096043,0.0,50.71821438469308,130.99259510622466,61.36883537994016,233.76341263497804,35.10361120451806,215.98385761332065
MAK16,129.452250480217,186.1247062653006,246.91665472942222,112.64947740780933,0.0,79.04170816649092,0.0,0.0,0.0,34.5255360660132,81.52769340551198,44.56081040326865,37.44243495745714,258.07861931729286,98.01815194235094
DRS2,140.5532733429742,48.5005458649829,40.213604556555275,293.543036564748,0.0,194.5249599782059,35.51615359650651,310.94235002972835,742.1567007373935,215.92069692404607,265.5570096403606,275.7777955040464,546.3798973376983,37.36131234007834,38.31248926543344
SAW1,0.0,0.0,0.0,0.0,0.0,143.25596747058097,333.4828448087559,1081.3435260774104,0.0,28.15848915513804,62.3369214188249,90.85775627679452,0.0,0.0,39.97103858428337
MYO4,517.809001920868,1135.3607082183337,401.23956393531114,112.64947740780933,420.7730336981845,140.51859229598386,163.55528057499492,238.65320495912272,0.0,117.38682262444487,315.91981194635883,601.5709404441269,531.6825763958915,19.11693476424391,98.01815194235094
SNC1,473.4982853586432,345.63157819373566,104.20944836698733,380.3433968392702,0.0,133.43600195848467,437.17329924301964,402.88766858690605,930.5919088330481,396.3383043449,438.70446310345045,263.2921001784529,303.4045052036527,419.54477262174004,148.92435343499127
GIP4,473.4982853586432,345.63157819373566,104.20944836698733,380.3433968392702,0.0,133.43600195848467,437.17329924301964,402.88766858690605,930.5919088330481,396.3383043449,438.70446310345045,263.2921001784529,303.4045052036527,419.54477262174004,148.92435343499127
PRP45,0.0,206.2699685904861,684.1043786915168,0.0,518.1283630636468,16.221631610639314,75.52405603021825,0.0,848.4808580536616,369.8700369613132,639.992393233269,226.34270460719105,110.6534077801557,52.96515455269931,343.98605558121517
POP5,0.0,151.14609767406307,0.0,0.0,759.3260493174133,23.773080808695546,0.0,0.0,1293.2018595162704,224.29693085644442,413.78818528013073,30.155376005660248,101.35279807449606,388.1067359465035,610.2474942479816
FUN19,0.0,151.14609767406307,0.0,0.0,759.3260493174133,23.773080808695546,0.0,0.0,1293.2018595162704,224.29693085644442,413.78818528013073,30.155376005660248,101.35279807449606,388.1067359465035,610.2474942479816
FUN12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RBG1,0.0,378.79824478808405,448.67956935786214,1146.312737696134,0.0,204.27239805990249,257.5743268931826,0.0,694.4972949254044,441.6711169333689,296.2927746450319,566.809382328614,947.0855908961245,97.26625604585213,299.2276360684547
YAL037W,0.0,0.0,0.0,0.0,0.0,0.0,12839.089525137102,0.0,0.0,4336.407329891258,7999.904915415862,0.0,0.0,0.0,0.0
CDC19,23992.00202078661,21674.06250913174,19355.26745712213,11773.801523014496,9626.084802346752,14588.113307447937,15571.981438344857,7124.972493324056,6874.149488848465,9279.911685967294,9250.175769339428,22122.500787055316,19314.94751876825,14608.041840656148,14166.535495041713
CYC3,2448.5584958689046,2629.942099528698,2090.5904048822904,57555.19285284769,86328.04973477148,39710.55418284504,41091.20033259356,10288.98365062656,10113.406981795042,32204.019292056724,29679.647236192843,37303.92328334491,34793.778504243746,53351.29575089065,42336.9243580871
CLN3,13704.185099408573,14393.714855833256,15160.241677788792,34310.777828870574,47281.063587997276,32784.8444354798,29242.55485653846,17271.218798508395,13097.150524916318,25541.439173059516,23106.011082839705,25000.87450590416,23896.78898235084,20319.19879156721,20335.265879754166
CDC24,388.71044611409417,814.371870528012,476.6300999080241,0.0,0.0,113.01956450035588,280.63583661501866,136.49746148845998,0.0,781.9750922754728,642.6153128776675,1433.6162363346677,1117.8715171232943,541.2286284893318,605.4629451127515
ERV46,457.74782264401045,816.0981490028989,1833.52299694348,0.0,247.9781016914976,322.9712239595756,404.83615619801674,0.0,0.0,810.6347035607531,929.7186793591408,929.6549251474719,794.3867957190231,621.9031660692322,332.73188875565614
PTA1,457.74782264401045,816.0981490028989,1833.52299694348,0.0,247.9781016914976,322.9712239595756,404.83615619801674,0.0,0.0,810.6347035607531,929.7186793591408,929.6549251474719,794.3867957190231,621.9031660692322,332.73188875565614
GCV3,732.3965162304169,1105.6813631652183,65.48296417655285,477.9991338655693,967.1145965968408,223.59546274124457,347.0024195983001,450.072710853841,701.7166015254606,1069.4518077096686,897.2866324047521,1323.5765035997904,1414.0084963798613,405.5890213494992,332.7318887556562
BOL3,265.67324608358257,0.0,0.0,0.0,0.0,162.21631610639312,125.87342671703041,326.52333924690424,0.0,170.0551894075003,313.72176138885743,480.12088856070824,253.5807261628568,529.651545526993,301.74215401860977
SPC72,0.0,0.0,0.0,0.0,0.0,393.9539105440976,0.0,0.0,0.0,309.7433807065185,380.947853115041,333.14510634824654,0.0,142.92184561839497,0.0
AIM2,106.45906503777844,183.67849584009952,55.37987827502756,505.3133700864591,78.64448367930352,137.88386869043416,152.84630387067978,214.10601816332724,32.969541912942276,241.59983695108434,169.14084678307825,234.86729997551382,161.23782276536974,347.3000848526997,158.28531279376216
OAF1,1853.4468441397105,634.0531267207552,91.42904432197945,1501.6387884644778,0.0,689.4193434521709,504.68119202582955,589.1281946317966,816.4627124667311,695.4615529070885,943.3850136103612,1369.5092461438533,1752.4472482163812,863.59851055266,450.05126934285096
FLC2,3274.586160483174,3036.337719024931,3408.146633351008,4709.432855798547,2015.6205585534954,1747.9923150914663,1845.657828504996,1747.2070142770312,1569.7509825409566,1637.919411145613,2037.6024097151837,3361.3425202025687,5247.229434784735,1602.751637766921,1184.785545996081
ACS1,3274.586160483174,3036.337719024931,3408.146633351008,4709.432855798547,2015.6205585534954,1747.9923150914663,1845.657828504996,1747.2070142770312,1569.7509825409566,1637.919411145613,2037.6024097151837,3361.3425202025687,5247.229434784735,1602.751637766921,1184.785545996081
PEX22,0.0,273.41828195230124,680.103768289812,0.0,450.71107605682715,32.253536535774074,50.05492992256181,146.07623071572033,0.0,101.43642876938617,261.9851902124493,184.10650613982048,220.01262365644996,228.17347282936734,449.96637002775145
GPB2,2350.3949423925114,1550.532757091749,988.9263977683493,0.0,224.69852479801008,619.0704308550106,1834.1556464481575,0.0,0.0,663.7358157996824,979.5801937243912,356.94118537312124,143.9623417547944,0.0,251.24652824406692
CNE1,0.0,563.3075447451025,0.0,0.0,0.0,33.22502860010462,0.0,0.0,695.1409439475781,104.49174288894598,134.93815519978563,632.1729427692629,509.9388973001152,759.3799267194238,0.0
ECM1,0.0,243.51315736376827,242.28696745324552,0.0,779.89112981976,413.6516060713025,142.65655027930111,0.0,0.0,307.1621858672974,533.3269943610575,378.95255847113054,313.5179887104412,500.2264596643824,51.29616618316366
BDH1,5277.1096353654775,5352.162869216297,4284.653740225816,4281.86592546947,3940.502550668261,275.76773738086837,608.167398559126,657.3430382207415,425.13356677215046,2225.261656128409,1717.874318678775,1620.13725403042,1571.7151802457643,1658.645629413478,1457.8910388899146
BDH2,13687.192161965966,13268.635527983934,13973.759983349973,5141.269753786647,11570.341043632417,1595.2842947323488,2102.525319523421,726.1347515229121,201.26755237551973,6674.789770864596,3158.1019985856806,4311.5174809953305,3814.1650661430126,10626.903974497984,7837.577019148494
NUP60,67.74667775131356,91.83924792004976,96.91478698129822,0.0,314.5779347172141,78.79078210881953,36.68311292896315,83.26345150796058,0.0,58.851242334238506,73.14198779808788,114.93506169014506,120.92836707402732,30.013587579862943,35.17451395416937
SWD1,0.0,369.46823875882086,1002.5667618754989,0.0,0.0,142.63848485217326,24.595956944707094,478.52558337908386,397.9082644665447,62.304703015678996,257.4682041743036,100.5179200188675,351.3563666582531,362.23295355006996,212.2599979992979
RFA1,71.31229236980374,184.55734031780332,612.0933914608308,372.3361674321277,0.0,58.05636576439334,22.524718465152812,131.4686076441483,0.0,319.5247506235664,244.20762373374734,810.06862701521,693.0397645178174,394.91562605082817,259.1806291359848
SEN34,71.31229236980374,184.55734031780332,612.0933914608308,372.3361674321277,0.0,58.05636576439334,22.524718465152812,131.4686076441483,0.0,319.5247506235664,244.20762373374734,810.06862701521,693.0397645178174,394.91562605082817,259.1806291359848
YAR009C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YAR010C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BUD14,211.70836797285486,684.8807550855984,719.2894346268226,0.0,473.09572213331023,226.21572207024354,183.89320934441167,32.5247857452971,157.76440954435267,381.1295504787239,499.9940572134914,860.8417494115823,367.40389302004826,785.5118624417253,721.352336950739
