name,Gcn4_PIP2_12,Msn2_HCM1_DPN_6,Msn2_PIP2_12,Msn2_RDS1_12,Msn2_RPN4_DPN_8,Msn2_RPN4_DPN_9,Msn2_SEF1_12,Msn2_SUM1_DPN_9,Msn2_YKL222C_12,Msn2_noAD,Msn2_Gal4AD,Msn2_Gcn4AD,Gcn4_Gal4AD,Gcn4_Gcn4AD
TFC3,885.4377059344681,418.06715571132975,364.8573957289458,328.6109647343761,437.44694081559464,367.40403803921095,419.9781081146227,337.1417823802245,346.26024367724506,157.70427533047382,294.1963121186478,336.494692135208,722.7559037033267,839.7728006574147
VPS8,935.1225072208383,1358.4021954289121,1323.8679534869002,1137.8812050870988,1274.8399608528018,1160.7394993302714,1783.4571885146993,1202.4642560068983,1244.9547887075646,643.7604895646714,785.5628327915921,1268.3413046956857,1134.21909826148,1557.6407568297036
EFB1,779.8213423292121,1367.6868473148734,4767.256221564955,3550.2283744749816,3129.117162919347,2637.0262570631457,2904.009875437073,1752.8216931961856,3525.9345035714355,655.1286392568065,1924.1235621129188,2204.1300685289702,308.28058849956795,423.1136909784619
SSA1,779.8213423292121,1367.6868473148734,4767.256221564955,3550.2283744749816,3129.117162919347,2637.0262570631457,2904.009875437073,1752.8216931961856,3525.9345035714355,655.1286392568065,1924.1235621129188,2204.1300685289702,308.28058849956795,423.1136909784619
ERP2,1016.4640860857792,1086.49353302062,795.0958208482527,952.3560695507775,769.3614718441845,971.7435364747474,933.6210790444725,835.3395485200765,1102.9015950482021,319.6998965196435,579.031611495812,1024.1810507480413,675.5917199841937,979.8042761070636
FUN14,1139.8766114432235,6374.536568560952,5398.209303256086,6292.627742755427,5345.533012927642,5028.871146855776,4957.1834399500585,4710.743924571011,4839.745134985307,8913.04648905878,7956.319688293977,5298.035265730705,1003.5061065107014,1430.1397417274704
SPO7,714.6782420624668,907.4771454252386,540.99326659488,913.5740721165145,726.4376890944884,966.013131792628,625.7176976190663,667.9408152757817,540.0444369880779,986.4188747374637,868.1768231311243,1338.1804701100436,1014.8917613710146,1231.3165640777759
MDM10,714.6782420624668,907.4771454252386,540.99326659488,913.5740721165145,726.4376890944884,966.013131792628,625.7176976190663,667.9408152757817,540.0444369880779,986.4188747374637,868.1768231311243,1338.1804701100436,1014.8917613710146,1231.3165640777759
CYS3,983.7054237472983,1003.924719157551,1214.9755761401652,943.6354723465223,1214.4787107001196,1367.001194035291,1052.8059740587717,747.4194944864207,1178.5107208724708,771.2046913070628,828.5081194062726,1243.8555321975994,263.9716301191025,481.3107051370284
DEP1,949.0647019914085,1169.2892417759394,786.6467513802661,765.0492371937331,1036.767679250284,982.058066972578,773.5111476941468,1010.7934785218572,883.6300108247906,811.0099891307884,673.679910637385,1006.125913597687,1097.5304750816238,1502.0103132623892
