name,Gcn4DBD_Gcn4AD_dGcn4_deletions_tef_3,Gcn4DBD_Gcn4AD_dGcn4_deletions_tef_2,Gcn4DBD_Gcn4AD_dGcn4_deletions_tef_1,Gcn4DBD_Gal4AD_dGcn4_deletions_tef_3,Gcn4DBD_Gal4AD_dGcn4_deletions_tef_2,Gcn4DBD_Gal4AD_dGcn4_deletions_tef_1,Gcn4_PIP2_12_27271508_2,Gcn4_PIP2_12_27271508_1
TFC3,734.6295261025471,979.6478553704248,805.0410204992718,622.7869569538882,904.1474832491149,641.333270906977,857.2281319274097,913.6472799415264
VPS8,1516.2632117699627,1784.0554276095265,1372.6036311096211,1099.297454882386,1268.8321532218283,1034.5276866802255,966.2031790016996,904.0418354399769
EFB1,373.89672381145675,496.84984489340576,398.59450423052317,246.8653533074029,339.1685948035271,338.80781738777387,432.41552109420326,1127.227163564221
SSA1,373.89672381145675,496.84984489340576,398.59450423052317,246.8653533074029,339.1685948035271,338.80781738777387,432.41552109420326,1127.227163564221
ERP2,998.4593249505205,1003.3873025926483,937.5662007780219,593.4299960200349,740.8027725348982,692.5423913976481,1081.9891665181328,950.9390056534256
FUN14,1317.0813625874544,1601.3336217172612,1372.0042408776956,974.11734007786,717.3781789369567,1319.0228005172874,1330.5092956744716,949.2439272119756
SPO7,736.8287343146596,1812.8305151516158,1144.2904427670524,873.4302426600987,1197.8485362583692,973.3965051945756,997.8819717558537,431.4745123690799
MDM10,736.8287343146596,1812.8305151516158,1144.2904427670524,873.4302426600987,1197.8485362583692,973.3965051945756,997.8819717558537,431.4745123690799
CYS3,578.936862675804,496.37026010103773,368.62499263424326,190.62961645359294,324.1796435429397,277.10563036077474,950.3637826246226,1017.0470648699738
DEP1,1846.431769125789,1324.16482730667,1335.4343433547083,842.4926658531868,1419.8560986326197,1030.2426607590648,1125.815557878399,772.313846104418
SYN8,1846.431769125789,1324.16482730667,1335.4343433547083,842.4926658531868,1419.8560986326197,1030.2426607590648,1125.815557878399,772.313846104418
NTG1,253.28487742066426,478.3858303872319,283.21188458484545,400.3221945525452,109.80278249035054,232.7687295030507,498.9409858779269,1186.5549090149696
TPD3,604.0525059830632,632.1209672113641,696.3680456262671,474.8920151064507,397.8736118473878,376.5376506666998,505.78919548801605,345.49687056612356
PSK1,2090.168837424894,2209.3512214816046,1843.4845973103716,1503.4957849694874,1723.1716665485678,1563.0974397390578,2697.132415088679,2796.879428392428
FUN30,1329.7456064584874,1655.466755155816,1463.261403688368,1409.467726653753,1171.2296798970724,1367.5162858304232,1205.7740492049898,2966.387272537424
ATS1,1329.7456064584874,1655.466755155816,1463.261403688368,1409.467726653753,1171.2296798970724,1367.5162858304232,1205.7740492049898,2966.387272537424
CCR4,1157.873725351608,1382.5121605449192,1350.262722465122,1564.8958514326769,1277.7051053422608,761.7885692827115,816.4488859820622,970.8176528304297
FUN26,1563.9809069639,1596.5941955338578,1734.811622437367,1174.2784373541326,1146.2549293698553,1245.0844982045537,753.3030571098112,383.88541174013716
PMT2,1649.2278318790209,2550.8746194683285,1668.6101917990325,948.4556609398763,1445.2673934627333,997.9213223823099,1707.4869294489054,669.3386666238289
LTE1,856.5557091051368,926.4400260992502,825.8966458848514,952.813644344362,1026.538294003355,888.4233379473164,1069.8539658201162,1221.2494969978634
MAK16,537.4525333439391,970.2428004836586,762.8481477211052,579.6597381843649,518.0080311965156,657.7816963239077,885.5937668661293,540.3737324494925
DRS2,852.1902574034915,923.9668669894473,833.0529385206612,706.5160722670092,574.6801230200366,672.8722609424289,804.6544806827977,1570.585128530188
SAW1,1281.9316244964234,1366.816658249234,1168.8109522549178,1162.840660366917,1652.27044128337,820.232665867893,522.7000804435424,508.523532434987
MYO4,583.0852956089905,451.60392167966654,524.7336969873498,425.3954530223968,476.97769209184116,396.84350274086995,349.5764869208404,124.70163056526751
SNC1,1917.339287141372,2197.813339605857,2128.995433462183,1404.7147973725512,1610.4408098584745,1248.107596188401,2183.5374328206044,1894.6602579432574
GIP4,1917.339287141372,2197.813339605857,2128.995433462183,1404.7147973725512,1610.4408098584745,1248.107596188401,2183.5374328206044,1894.6602579432574
PRP45,973.9761336781173,1010.0902053377467,1189.1197036425144,725.2896230716701,805.2204049292371,612.5012450844981,667.211279154404,1689.0958116566037
POP5,1125.4332977016704,1556.7074299170727,1229.421705879808,683.3085734603789,1457.7265951305158,882.915870528813,820.0984020752131,675.108827543
FUN19,1125.4332977016704,1556.7074299170727,1229.421705879808,683.3085734603789,1457.7265951305158,882.915870528813,820.0984020752131,675.108827543
FUN12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RBG1,1002.4184566701421,1169.3875853910115,942.2913937730353,958.1785860354902,767.9416824788095,727.043068694714,830.0283684821069,966.8225184566415
YAL037W,3184.152744716922,0.0,2769.1828714962667,0.0,1610.4408098584745,0.0,0.0,0.0
CDC19,468.52533243691846,530.1809879629925,437.1352961433393,345.9927538632712,361.1988673539721,251.1685433590062,789.2771214697492,633.9593371022837
CYC3,327.512853742312,390.90956425928096,427.24535731656687,270.5034257476484,363.49949708234135,334.07854796295,392.0250603326568,522.0841599665866
CLN3,347.9824071012065,408.31849222224486,300.6541403338804,308.2480898054598,379.60390518092606,302.37766384967733,846.7741303185387,689.8969256701322
CDC24,574.1914785555106,608.4044124165487,431.26618490515625,360.94624098999975,541.2137147885036,405.7553262922032,689.7927291099209,213.96891801909285
ERV46,1018.3551570941509,1172.7144348515835,1066.5096194276161,628.1331731342489,943.0509246918995,607.435513327781,1005.3735781504172,823.105657604979
PTA1,1018.3551570941509,1172.7144348515835,1066.5096194276161,628.1331731342489,943.0509246918995,607.435513327781,1005.3735781504172,823.105657604979
GCV3,4894.559117723647,6497.336996496857,5182.862536516661,5325.908115364605,6572.339521314315,4763.370892488105,6155.852974412798,7055.19135089982
BOL3,2153.9856802496824,3866.5818612928806,2755.6084456555986,2964.4774276342073,4089.2565662092634,2761.2761048891316,3120.8269508835033,1279.6180391337905
SPC72,1971.1421753009517,3587.29424691378,2901.048722519898,2516.310937187427,1303.6901794092414,4308.068866675511,2265.033681922017,3107.6438093249203
AIM2,411.66546199554494,430.4753096296536,403.5095041323131,442.4513397887893,453.2240564887421,534.037970831285,209.08003217741697,316.97966855114186
OAF1,1531.9980186845567,1337.7701076171254,1358.4670690359042,1225.5146427575557,1185.0413506505756,998.4168145979911,1760.414421871176,1785.4293206404493
FLC2,435.45938404594665,335.07777410625215,368.69004946115274,297.3932366671103,414.845823668319,227.26671901310885,471.2621564635701,528.8840983742557
ACS1,435.45938404594665,335.07777410625215,368.69004946115274,297.3932366671103,414.845823668319,227.26671901310885,471.2621564635701,528.8840983742557
PEX22,1098.6258008087625,1438.2495510072276,1141.6806575467062,660.9608163469899,819.3470786999254,918.3701920354283,534.9269829100581,457.9685613741988
GPB2,2436.8515903445837,4160.055513227744,2599.6410630373116,1228.1993860081488,3056.550924833431,2055.332046904489,2016.1288817108066,3995.542040560612
CNE1,824.8106507399256,520.551734270444,900.818524462641,636.6569841076623,562.6841383842863,1089.993327713081,705.33022903225,157.25426505017668
ECM1,1870.6897375211915,1449.4251387346485,1892.2749621891155,966.3332974060049,1610.4408098584747,1692.745927330519,1128.1610069573123,652.6051999582334
BDH1,1039.0393166971007,1206.9634745614705,779.7435980265802,594.8647347122909,644.1763239433898,574.9795984917464,616.2358843123867,274.78113682451925
BDH2,1018.1883776711089,1072.4157262597496,885.4945228621783,733.9240233463329,870.7616006792914,793.9398525685451,1606.0871657814664,455.3059534592325
NUP60,511.7388339723625,500.1110214815092,567.6824886567347,421.48208197889403,416.41398083483404,402.3573752838449,381.57105872378594,223.7503542713943
SWD1,2003.8202617615113,2769.60217592608,2005.2703552214343,1611.2584880362022,2249.0638896299383,1677.5401540047449,1808.422117396624,1650.2660228828886
RFA1,1617.2144203430685,2297.3121206628957,1850.980129894873,1143.3763732132345,1364.6366862484965,1221.831646794961,1213.2143972400115,2129.553810390024
SEN34,1617.2144203430685,2297.3121206628957,1850.980129894873,1143.3763732132345,1364.6366862484965,1221.831646794961,1213.2143972400115,2129.553810390024
YAR009C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YAR010C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BUD14,2717.724120002529,2895.0997745227305,2596.10894202775,2218.9734143361784,2321.299448585067,2000.3562691668421,2644.127360056201,4180.752062232432
ADE1,2717.724120002529,2895.0997745227305,2596.10894202775,2218.9734143361784,2321.299448585067,2000.3562691668421,2644.127360056201,4180.752062232432
KIN3,1038.7762877944217,968.739774539167,804.056461566741,756.9619971733479,797.9986972617104,941.5129776311741,508.63640114909737,702.3553721523588
CDC15,1046.2216161212743,1307.2522270371096,1117.563087425279,1094.5952576765308,1113.5047885307167,1085.1456484927935,470.43007239918813,801.7721028058294
UIP3,1987.8210706304212,1690.2486422223164,1875.1324015560438,2124.185816142386,1822.0987448684455,2121.5207060420908,1939.2172984455424,2200.2118170020435
YAR028W,1072.3830487388598,1251.3435737862912,961.3225512448181,669.2778658495056,667.5402320656889,645.6417609359231,1061.6499043205629,1284.9221553581792
PRM9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MST28,514.0132287900174,574.4946227778098,559.7705375953168,536.8129999333178,676.3851401405592,470.6362026047397,486.1110748124944,522.0841599665866
YAT1,1430.59434030496,1596.8734831482368,1519.0946037922376,1589.469741990058,1690.9628503513982,1465.5562578520653,1714.4562638548189,1547.6066170438107
SWH1,699.6568811261398,685.5696865969488,639.5198111303037,467.3417547765887,556.0714903995629,505.2020855581909,754.7507888018862,702.3553721523588
PHO11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YAR075W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ECM15,855.172451438259,870.4463981481966,801.0850449685628,517.9406679044121,547.5498753518813,441.3738480386419,1338.1122059354686,1584.8983427557096
HTB2,1320.1987149249392,1815.1546568377075,1388.8517170888967,939.4227498833061,1142.1741743765488,1003.1735398685325,1497.3346919782707,1465.8516799061856
HTA2,1320.1987149249392,1815.1546568377075,1388.8517170888967,939.4227498833061,1142.1741743765488,1003.1735398685325,1497.3346919782707,1465.8516799061856
UTP20,1423.771155851995,1326.2437848148884,1428.1071665859317,874.4180506726309,878.8405562370532,1043.690646190822,1102.8971697358745,1156.0434970688705
LDB7,976.9559557654193,1086.8590357043252,912.5716281067241,1039.7256997406382,854.0216415916152,847.0195434694346,1774.0123942326288,1137.1151211393458
SLA1,454.878963530989,534.9288774074371,456.915173796884,241.1464648137951,379.60390518092606,334.07854796295,512.2460788346716,503.43829711063705
HIR1,1014.306721099342,1215.0512771804736,977.0302469996908,1171.9109405046283,1175.362042678967,915.4318582337721,708.1743025364123,736.8123225334892
ALK2,2228.9069213018456,2392.936280000133,1834.5836523662767,1577.9366501946156,2149.9384811610635,1963.016285475728,1170.8481801935347,1305.2103999164665
LAA2,2228.9069213018456,2392.936280000133,1834.5836523662767,1577.9366501946156,2149.9384811610635,1963.016285475728,1170.8481801935347,1305.2103999164665
SCT1,393.4703034543054,438.38845870372813,389.6635897748318,174.04483982213037,375.00264572418763,268.2382501892299,209.08003217741697,410.20898283088957
