name,dGal4_med15mnase,dMig3_med15mnase,dMsn2_med15mnase
TFC3,221.7009405961891,123.82803388575489,231.43545761686661
VPS8,2005.194254220518,2353.0339730775618,2435.9568633303843
EFB1,8435.17382543922,11012.751132255593,11257.647075386212
YAL004W,0.0,0.0,0.0
SSA1,8435.17382543922,11012.751132255593,11257.647075386212
ERP2,301.1822590411897,137.59399183576093,388.30999063611023
FUN14,587.055449401363,621.1297150207255,65.33161542724159
SPO7,59.56212600154012,203.14820888722278,135.4963117220427
MDM10,59.56212600154012,203.14820888722278,135.4963117220427
SWC3,175.3699967191595,275.7085441208201,303.95247363012396
CYS3,706.9201420748573,1154.2263215788475,1624.7210051309992
DEP1,754.8396763502786,323.2325981627195,532.7744469245712
SYN8,754.8396763502786,323.2325981627195,532.7744469245712
NTG1,73.7081309269059,90.22650608537992,413.8188197739823
TPD3,88.4029037736287,292.9610848406469,207.57896304526176
PSK1,175.18375668909363,355.95170976378995,216.5513480339489
LDS1,0.0,0.0,0.0
FUN30,342.66502916354716,140.91370075129018,149.60854518819843
ATS1,342.66502916354716,140.91370075129018,149.60854518819843
CCR4,465.9605542462583,299.834811330245,446.1778096928666
FUN26,239.32996366049943,221.23282293729278,369.0494132575476
PMT2,356.616682217723,577.3820723322879,368.7325701582002
LTE1,93.58657107000218,151.20193853518018,84.82594201053713
MAK16,12.623756322937883,157.70534618665582,284.51751394823566
DRS2,196.32904340132,285.7114859544054,138.44238362717005
SAW1,60.8384572730017,75.01484838550738,134.92468035972206
FRT2,476.5764113521483,862.3737325336399,856.0076894500139
MYO4,476.5764113521483,862.3737325336399,856.0076894500139
SNC1,386.1245058965146,175.97680493834332,555.8759760016867
GIP4,386.1245058965146,175.97680493834332,555.8759760016867
PRP45,99.09282860896319,243.0220985012573,292.1723330724204
POP5,168.75643495812932,248.10738248412784,235.5838541133648
FUN19,168.75643495812932,248.10738248412784,235.5838541133648
FUN12,0.0,0.0,0.0
RBG1,236.85125581913576,43.9323070405865,289.2368866716876
YAL037W,0.0,0.0,0.0
CDC19,17266.955976194087,21229.32951887348,25349.12162283603
CYC3,3551.2802160189585,3506.8899310698444,3108.710870597427
CLN3,15131.412312098188,16529.97557884458,10819.752392512024
CDC24,598.0112027051301,800.1439913673806,800.0132285081135
ERV46,691.315992691701,971.790104102407,626.0857231230918
PTA1,691.315992691701,971.790104102407,626.0857231230918
GCV3,1170.5355902278297,2008.0444503193348,1544.8953913189755
YAL045C,0.0,0.0,0.0
BOL3,782.8552742084247,84.9432842012363,316.50187579094876
SPC72,0.0,0.0,0.0
GEM1,42.541421244850014,123.52029866793146,184.62297608093544
AIM2,190.03265841562958,177.59571240851506,121.94526394127612
OAF1,745.4186238594243,1055.5974247911224,1222.3867720214619
FLC2,2314.193393404044,2922.1094916630136,2704.104208162312
ACS1,2314.193393404044,2922.1094916630136,2704.104208162312
PEX22,235.4597153107281,143.80111944188658,400.7365290805636
GPB2,576.5866361987698,792.6176887447348,1142.5550072326837
CNE1,218.8303738443232,257.49521296880596,302.37539498714904
ECM1,296.2332023932735,360.2489402631471,98.34574657423705
BDH1,3440.9379512071964,3250.2142111130406,1857.8311055009378
BDH2,16585.138187937493,13903.49755557362,6182.714978828322
GDH3,796.652165296557,884.3212528505302,1062.2955363687793
FLO9,0.0,0.0,0.0
YAL064W,0.0,0.0,0.0
YAL065C,0.0,0.0,0.0
YAL066W,0.0,0.0,0.0
SEO1,189.4167182079954,413.67166258559473,481.34126389875837
