name,Native_med15mnase,Gal4Full_nodeletion_erv_2_reps_0.96_meancorr,Gal4Full_dGal4_deletions_tef_3_reps_0.99_meancorr,Gal4DBD_Gal4AD_dGal4_deletions_tef_3_reps_0.95_meancorr,Gal4DBD_Gcn4AD_dGal4_deletions_tef_3_reps_0.97_meancorr,Gal4DBDGal11_dGal4_gal11_2_reps_0.95_meancorr,Yap1_lab_data,Yap1Full_dYap1_deletions_tef_3_reps_0.99_meancorr,Yap1DBD_Gal4AD_dYap1_deletions_tef_3_reps_0.82_meancorr,Yap1DBD_Gcn4AD_dYap1_deletions_tef_2_reps_0.97_meancorr,Yap1DBDGal11_dYap1_gal11_2_reps_0.98_meancorr,Gcn4_lown_lab_data,Gcn4Full_dGcn4_deletions_tef_3_reps_0.98_meancorr,Gcn4DBD_Gal4AD_dGcn4_deletions_tef_3_reps_0.97_meancorr,Gcn4DBD_Gcn4AD_dGcn4_deletions_tef_3_reps_0.97_meancorr,Gcn4DBDGal11_dGcn4_gal11_4_reps_0.93_meancorr,Mig3_lab_data,Mig3Full_dMig3_deletions_tef_2_reps_0.99_meancorr,Mig3DBD_Gal4AD_dMig3_deletions_tef_3_reps_0.94_meancorr,Mig3DBD_Gcn4AD_dMig3_deletions_tef_3_reps_0.97_meancorr,Mig3DBDGal11_dMig3_gal11_2_reps_0.98_meancorr,Rpn4_lab_data,Rpn4Full_dRpn4_deletions_tef_3_reps_0.95_meancorr,Rpn4DBD_Gal4AD_dRpn4_deletions_tef_2_reps_0.93_meancorr,Rpn4DBD_Gcn4AD_dRpn4_deletions_tef_3_reps_0.89_meancorr,Rpn4DBDGal11_dRpn4_gal11_2_reps_0.99_meancorr,Med15_Gcn4DBD_Mnase,Med15_Msn2DBD_Mnase,Med15_Msn2DBD_Mnased11TFs,Med15_dDBD_Mnase,Gal11_ddmsn,Msn2_dgal11,Msn2_d11,Msn2DBDonly_d11,Gal11_MNase_d12,Msn2_lab_data
TFC3,130.85961632585224,1210.3910418545192,677.3879038814575,478.56933849806984,506.6337894789107,25.26566850432295,548.0490752361134,479.94535906172814,472.3908348508325,393.0245564920565,61.22792279263843,927.9256984196708,513.4085590255548,722.7559037033267,839.7728006574147,67.16232044052215,450.20146064002756,182.26480010891584,347.3637305292738,336.44063467010125,81.8148809724593,525.7022434250889,237.68822949033753,572.8889867210578,931.667853148315,140.58503052536926,165.32244245399895,33.33269836511767,107.07138178715992,64.2960705456486,942.3827895923434,115.99560717929454,188.8056723381809,217.7078836975168,133.21572584303036,129.00651070300802
VPS8,1136.544636441867,1472.333645762799,1273.6966246985924,886.4102819447033,1340.4309559681117,119.15830860500533,1549.7138747822803,2326.293291710821,916.4209024307996,1219.7054920439632,415.0649225287011,680.0094928935705,1178.1791372501082,1134.21909826148,1557.6407568297036,563.5139517421176,1630.1791408542413,862.1328195918359,593.0202894380268,1328.741090274306,433.93132213977515,744.0902236170039,599.1717105501685,372.80436867071376,1596.8220850252558,780.1475305044997,1787.526042407059,670.186029015632,1504.9786172561762,1686.594582405438,133.4163065605879,756.3092006898362,1037.6510778295474,639.5624207614734,1472.609861963601,1041.856493880947
EFB1,10824.619032914057,2858.420682800427,1708.1925254608386,367.53748455331265,491.60227336889767,1016.7011031546356,4849.265273845024,4130.892228024016,512.1101641819807,443.80713784042894,1910.308309489878,3643.779745238154,759.1095767608537,308.28058849956795,423.1136909784619,1824.429060613178,2566.318167881828,2208.551258936839,1398.121459718619,1514.8313661138739,2438.63712001707,846.8016164029818,340.57067109395445,975.5633372779837,3187.196485946088,3683.1963889290996,7192.901784102295,9839.796567095438,11982.841488924605,8130.173012985472,6444.007606876396,3005.6487000179204,4671.721617692939,1442.742192063142,7868.397145152367,4765.822879027048
SSA1,10824.619032914057,2858.420682800427,1708.1925254608386,367.53748455331265,491.60227336889767,1016.7011031546356,4849.265273845024,4130.892228024016,512.1101641819807,443.80713784042894,1910.308309489878,3643.779745238154,759.1095767608537,308.28058849956795,423.1136909784619,1824.429060613178,2566.318167881828,2208.551258936839,1398.121459718619,1514.8313661138739,2438.63712001707,846.8016164029818,340.57067109395445,975.5633372779837,3187.196485946088,3683.1963889290996,7192.901784102295,9839.796567095438,11982.841488924605,8130.173012985472,6444.007606876396,3005.6487000179204,4671.721617692939,1442.742192063142,7868.397145152367,4765.822879027048
ERP2,270.9221305530166,398.87094666633845,623.41578363463,385.10787472411084,615.0626285048022,0.0,693.621735018678,700.7475545796974,629.4167961233106,685.9201018026854,98.10962892820643,290.33159477854304,733.8277366976487,675.5917199841937,979.8042761070636,161.63661998939054,528.2954810520193,371.10514932681605,297.8161982674506,610.9845913972729,100.025601448764,1008.8621240628679,1048.557501126516,771.5065564082677,1147.950366014803,409.541607971331,313.3025074698926,250.90707929632472,430.67500161502846,115.59463806616759,264.164286989964,368.4296447868589,403.8895046055726,331.8425602082805,423.12353516617395,481.8812735466652
FUN14,455.0638886461049,2090.1503152700434,1352.5707483802814,1245.2465964139158,1802.628426665442,275.2556928775623,1305.0514932856015,1531.734516441223,792.8986651010533,1513.3770963640827,344.1894084849504,230.05094419490118,1691.7130347927512,1003.5061065107014,1430.1397417274704,127.08293804003696,609.6522427399386,1300.6524995949699,979.4113503822115,1490.093825467152,219.13092553410715,698.7288948768814,893.9913267664032,586.0238317253843,1314.8386266588564,340.6989987597598,472.90188625415084,881.7513350028638,1330.395589969016,204.5784062816092,0.0,3888.3512937995088,4059.04080426927,20926.583567409765,156.47961980914013,3335.267531185846
SPO7,88.1890768012533,2862.202236280726,1211.7006103804051,1714.1386456004966,1807.8751549413312,318.4776611806506,376.8663557611734,609.141825195861,1306.5233152229475,1513.7455220783445,0.0,308.5935897887159,922.235567738473,1014.8917613710146,1231.3165640777759,183.908789507314,407.04028951925915,488.6922651505514,936.0581342320778,1645.6310013879047,126.91611514914409,725.5679567035004,1198.5837604077885,1392.8207055561315,1754.1067678335091,193.84910446786233,219.05396085696773,194.63270755451268,291.6138196869095,0.0,0.0,289.6542111933727,225.87053342822765,441.64505092767473,99.42685273300388,293.45455284572444
MDM10,88.1890768012533,2862.202236280726,1211.7006103804051,1714.1386456004966,1807.8751549413312,318.4776611806506,376.8663557611734,609.141825195861,1306.5233152229475,1513.7455220783445,0.0,308.5935897887159,922.235567738473,1014.8917613710146,1231.3165640777759,183.908789507314,407.04028951925915,488.6922651505514,936.0581342320778,1645.6310013879047,126.91611514914409,725.5679567035004,1198.5837604077885,1392.8207055561315,1754.1067678335091,193.84910446786233,219.05396085696773,194.63270755451268,291.6138196869095,0.0,0.0,289.6542111933727,225.87053342822765,441.64505092767473,99.42685273300388,293.45455284572444
CYS3,1483.804783953863,1460.684693264902,1090.458305502112,611.6834565398518,954.22575176425,1033.595529722303,6804.0718201560985,5318.901537675106,777.9362051858716,760.3269124988792,236.60108290490209,636.8394391681076,496.40287269505797,263.9716301191025,481.3107051370284,389.63879696749774,855.7697095216346,252.58042779990348,357.93583610378187,794.1495366073659,370.040943764872,1236.2494592921848,714.051377428394,517.6303007470799,2270.6581786508245,839.7299647208029,873.477476152109,452.45310658189646,684.9476932035051,1790.670604271756,300.1866897613228,1226.3688689281685,1061.6519187991355,328.5153726059333,1076.8798666113041,1484.449973177581
DEP1,1226.420015181908,1003.7886297388213,2057.1319664047073,1501.6626582262559,1643.1755944022054,300.09852720907423,2110.548798773772,2146.884523967339,1509.776018079603,1317.5912628259891,322.38417113476,367.5773447153597,1153.6771714545048,1097.5304750816238,1502.0103132623892,610.0246998772261,765.1169972375508,957.3253150788785,709.8528250448381,1147.068985587868,225.71232011625014,2264.023647691623,3168.7667981858963,2124.0785158730428,2735.356059443658,737.7145103492236,466.04361092927047,414.80391668625526,383.9690622388324,631.4061680553183,182.36193381950184,531.3749650615903,565.2152522128846,382.1824403500918,379.59438334244487,635.030657063295
