,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
YER160C,3.791593376,0.657862722,0.967273442,0.680120733,0.496428018,
SPT2,778.6415074,0.164954288,0.139558706,1.181970607,0.237217364,0.353679964
RAD4,342.564868,0.364698397,0.139840247,2.607964482,0.00910824,0.077654793
GCG1,321.4343499,0.138379083,0.168113134,0.823130705,0.410433669,0.505365368
CHD1,1319.82031,0.248539476,0.140932925,1.763530249,0.0778111,0.209062597
PAB1,4119.547569,0.177621313,0.143411283,1.238544894,0.215514086,0.334749409
YER165C-A,0.139851867,0.0,4.568697382,0.0,1.0,
DNF1,1661.023879,0.201009403,0.143323506,1.402487342,0.160769768,0.289560764
BCK2,925.4240057,0.297046018,0.134777947,2.203966044,0.027526732,0.133739848
CCA1,806.6049833,0.163834021,0.13535989,1.210358702,0.226141281,0.34401813
ADK2,230.8558363,0.18539448,0.150811408,1.229313368,0.218954337,0.33762568
RAD3,856.1413375,0.281151557,0.142990332,1.966227744,0.049272309,0.174670788
BRR2,1369.925399,0.173037043,0.127665225,1.355396846,0.175291154,0.301205251
YER172C-A,0.282848234,-0.745993346,2.97185819,-0.25101916,0.801799296,
RAD24,239.4316668,0.277888424,0.153497698,1.810375186,0.070237625,0.199121258
GRX4,307.2877049,0.198145213,0.155330807,1.275633703,0.202085034,0.32253564
TMT1,674.6123194,0.119546894,0.163895137,0.729410869,0.465750371,0.55264871
YER175W-A,29.06284942,0.292077699,0.425109505,0.687064617,0.49204201,0.574781799
ECM32,1170.09202,0.128250377,0.149903374,0.85555364,0.392244723,0.49043298
BMH1,3855.407573,-0.576811095,0.151100999,-3.817387707,0.000134872,0.003983545
PDA1,1587.919177,0.184902062,0.153752627,1.202594487,0.229133282,0.346422714
DMC1,21.43478575,0.780470903,0.400565519,1.948422584,0.05136442,0.176430599
ISC10,156.5609042,0.286762737,0.181743008,1.57784742,0.114600667,0.246677288
SLO1,64.87365708,0.135231376,0.225368032,0.600046842,0.548475018,0.624532234
YER181C,6.963550302,0.053943369,0.566886634,0.095157242,0.924189932,
FMP10,376.0927222,0.107372483,0.143863856,0.746347873,0.455457299,0.544198618
FAU1,246.5608307,0.153183396,0.170969243,0.895970488,0.370268526,0.470888509
TOG1,359.0388335,0.381449326,0.140964982,2.705986404,0.006810183,0.066359153
PUG1,33.80112035,-0.061021011,0.289515227,-0.210769607,0.833067056,0.865200069
YER186C,256.7002199,0.100811924,0.18887567,0.533747538,0.593516214,0.665092018
YER187W,63.97555877,0.654921415,0.260739734,2.511782174,0.012012321,0.088585128
YER188W,54.26258246,0.10339193,0.220677503,0.468520482,0.639412427,0.703718354
YER188C-A,5.389597801,0.184894091,0.66935252,0.276228274,0.782372742,
YER189W,9.546958988,0.491294155,0.563045533,0.872565585,0.382899906,0.481823972
YRF1-2,22.45805567,0.39383484,0.36285631,1.085374099,0.277755999,0.389706611
YER190C-A,0.0,,,,,
YER190C-B,0.0,,,,,
GWT1,483.0073073,0.256275104,0.14756067,1.736743969,0.082432373,0.213895566
RNR2,1855.032909,-0.035954299,0.150466718,-0.238951837,0.81114293,0.847556014
YJL026C-A,1.334188778,0.487521575,1.301146797,0.374686066,0.707893956,
ENT3,1000.948554,0.238058874,0.143245261,1.661897026,0.096533423,0.229405578
YJL225C,29.96459114,0.320820327,0.323536211,0.991605626,0.321389944,0.426237431
YJL225W-A,0.123888257,1.177577823,5.669119919,0.207717925,0.835449221,
PAU1,0.458608822,-2.660794141,2.434832556,-1.092803748,0.274479976,
YJL222W-B,0.0,,,,,
YJL222W-A,0.0,,,,,
VTH2,7.942683259,0.88645867,0.577185773,1.535829037,0.124580316,0.255586289
IMA4,0.493185334,0.035643676,2.339512591,0.015235514,0.987844289,
YJL220W,0.0,,,,,
HXT9,15.18589423,0.140255912,0.422746867,0.331772801,0.740060824,0.789862115
YJL218W,29.73421919,0.38726208,0.293018373,1.32163071,0.186291152,0.309274298
REE1,240.4025695,0.371838326,0.165831814,2.242261697,0.024944464,0.128044202
IMA5,40.40173865,0.563661945,0.289353581,1.948004044,0.051414479,0.176430599
YJL215C,18.4128411,0.721771419,0.382385232,1.887550456,0.059086327,0.185897144
HXT8,30.27111573,0.1690838,0.320323516,0.52785322,0.597601215,0.668458549
YJL213W,209.1165125,0.247089271,0.186335161,1.326047483,0.18482397,0.307898119
OPT1,1313.112115,0.616787435,0.117096111,5.267360557,1.38e-07,8.9e-06
YJL211C,29.44119957,0.384504445,0.316161612,1.216164235,0.223922365,0.342306429
PEX2,177.4682555,0.235344763,0.177949393,1.322537596,0.185989199,0.308950207
CBP1,531.8449048,0.213838008,0.135187566,1.581787546,0.113698079,0.246438239
NUC1,750.1620825,0.261472559,0.141120752,1.852828554,0.063906936,0.191291237
LAA1,1118.522597,0.195356787,0.138240665,1.413164401,0.157607391,0.287547805
YJL206C,273.3042243,0.52119414,0.153338334,3.39898136,0.000676373,0.014610167
NCE101,91.25446176,0.220184348,0.227051749,0.96975403,0.332169112,0.435414412
RCY1,470.6402535,0.330015851,0.138438007,2.383852947,0.017132447,0.107837174
PRP21,303.6876286,0.189750099,0.151220636,1.254789719,0.209555106,0.329733758
YJL202C,3.458243281,0.512629202,1.025419185,0.499921602,0.617130281,
