,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
MRP21,365.0506622,0.017911231,0.162379787,0.110304561,0.91216784,0.930695132
AVT5,440.5706353,0.169029205,0.123388782,1.369891191,0.17072087,0.296787723
TEL1,794.1782975,0.296848079,0.134259874,2.210996257,0.027036096,0.133021052
RPL23A,1114.566803,-0.028709854,0.153808982,-0.186659151,0.851927886,0.882087663
YBL086C,449.0905926,0.468865588,0.132615544,3.53552512,0.000406966,0.010065911
BOI1,1109.66663,0.14495313,0.141737337,1.022688392,0.306455202,0.413757573
CDC27,579.3867782,0.317856167,0.131098636,2.424557397,0.01532706,0.101084748
YBL083C,0.016963179,0.0,6.006310083,0.0,1.0,
ALG3,303.014661,0.174678122,0.167240165,1.044474704,0.296265817,0.405977691
YBL081W,412.66945,0.160454737,0.170188284,0.942807181,0.345779538,0.446512992
PET112,367.7398392,0.183133295,0.147282141,1.243418209,0.213713764,0.333463681
NUP170,1710.855047,0.132561876,0.149703745,0.885494717,0.375889868,0.476155311
ATG8,263.1962036,0.286104001,0.1872157,1.528205167,0.126461606,0.256596308
YBL077W,0.415221499,1.177591911,2.865995673,0.41088405,0.681157558,
ILS1,5357.844899,0.220799129,0.146472967,1.507439446,0.131698054,0.261407293
SSA3,291.6524793,0.408836552,0.143855081,2.842002865,0.004483109,0.052856858
AAR2,246.3300455,0.233459768,0.166842423,1.399283014,0.161728131,0.289760953
YBL073W,0.671699053,1.148483343,2.080090236,0.5521315,0.580858261,
RPS8A,1649.962763,0.051323462,0.156684972,0.327558292,0.743245662,0.792092993
YBL071C-B,0.798700006,-0.11478909,1.736434803,-0.06610619,0.947293282,
KTI11,175.0390889,0.097921569,0.194275215,0.504035312,0.614236563,0.682367197
YBL071C,3.001419939,0.684756207,0.90164907,0.759448692,0.447584196,
YBL070C,1.106112871,2.697237979,1.609370734,1.675958139,0.093746392,
AST1,481.7032245,0.112004794,0.141524906,0.791414015,0.428702434,0.520612207
YBL068W-A,0.0,,,,,
PRS4,578.2389906,0.185346341,0.175151058,1.058208515,0.28996039,0.400654976
UBP13,848.34055,0.293093326,0.143934261,2.036299936,0.041720246,0.163287095
SEF1,509.5994001,0.233083732,0.130122343,1.791266026,0.073250615,0.203575522
YBL065W,2.378999325,1.1695765,1.280286661,0.913527053,0.360965412,
PRX1,1057.08092,-0.09583732,0.130291568,-0.735560418,0.461998258,0.54974469
KIP1,382.2346315,0.077926659,0.157230026,0.495621993,0.620161133,0.687366034
YBL062W,2.271965253,0.329411015,1.133300399,0.290665225,0.77130737,
SKT5,1217.417705,0.193199292,0.14000777,1.379918354,0.167611785,0.294256687
YEL1,368.0375426,0.282399917,0.143044423,1.974211298,0.048357722,0.173339227
CMC2,214.4599143,0.13061453,0.166497686,0.784482558,0.432757013,0.523668551
IAI11,144.8940952,0.173177844,0.173316581,0.999199518,0.317698049,0.422989635
SHP1,1701.263108,0.218752611,0.13801538,1.584987199,0.112969243,0.24542536
PTH2,464.532767,0.141656325,0.161102471,0.879293312,0.379242261,0.478725131
PTC3,1664.766051,0.116240029,0.144389246,0.805046304,0.42079296,0.514895465
YBL055C,528.3416042,0.268731084,0.156716118,1.714763532,0.08638859,0.218030626
TOD6,423.6069184,0.193431333,0.166940781,1.158682326,0.246585697,0.361846541
YBL053W,1.920746599,1.024129001,1.109494217,0.92305934,0.355976282,
SAS3,435.9273374,0.246146415,0.151210207,1.627842593,0.103558267,0.235806156
PIN4,1564.482726,0.238002127,0.147179665,1.617085669,0.10585979,0.237712305
SEC17,1043.815903,0.258534614,0.147016042,1.758546955,0.07865449,0.210217378
MOH1,39.05546363,0.475165904,0.250771526,1.894816014,0.058116781,0.184772171
RRT1,10.54403195,0.759068295,0.470793969,1.61231525,0.106893356,0.239383226
PSY4,458.1205314,0.196175748,0.147851924,1.326839326,0.184561839,0.307727098
COR1,1354.337974,0.186815886,0.135458924,1.3791331,0.16785372,0.294256687
YBL044W,0.342706458,-1.569903689,2.620293094,-0.599132858,0.549084292,
ECM13,285.9869216,-0.849339144,0.152076943,-5.584930419,2.34e-08,1.78e-06
FUI1,1244.765462,0.057671818,0.137140075,0.420532205,0.674096708,0.733110247
PRE7,1544.994512,0.24736515,0.135710709,1.822738615,0.068342989,0.196847064
ERD2,629.5751508,0.193182848,0.131695032,1.466895492,0.142404487,0.27216229
MIN6,75.43700694,-0.031512211,0.22761855,-0.138443071,0.889890259,0.912914178
URA7,1601.82503,0.076223783,0.161349942,0.472412835,0.636632145,0.701384313
YBL039C-A,0.0,,,,,
MRPL16,716.5561448,0.12904934,0.154540881,0.835049852,0.40368964,0.499777444
APL3,761.535191,0.235593098,0.133429726,1.765671749,0.077450935,0.208541146
YBL036C,589.6844632,0.210413643,0.146236801,1.438855622,0.150191433,0.279658478
POL12,537.8793245,0.427653788,0.140762093,3.03813178,0.002380498,0.034624886
STU1,583.0496609,0.224561812,0.149840663,1.498670706,0.13395908,0.263592493
RIB1,2167.418906,0.052742178,0.143453672,0.367660006,0.713126766,0.768101385
HEK2,587.28764,0.083817862,0.159709391,0.52481486,0.5997119,0.669959898
SHE1,158.8003848,0.10532072,0.164902602,0.638684402,0.523028262,0.60294008
PET9,2021.759696,-0.007777681,0.136979766,-0.056779778,0.954720623,0.965562139
YBL029C-A,124.1830702,0.119971744,0.19546473,0.613776943,0.539362736,0.617191318
YBL029W,86.15514303,0.224411083,0.195556566,1.147550746,0.251154073,0.365752621
YBL028C,492.8650195,0.041439997,0.164722263,0.251574964,0.801369612,0.839205623
RPL19B,3674.080715,-0.043140993,0.143106801,-0.301460117,0.763063658,0.807237858
LSM2,399.1844693,0.034517581,0.169415117,0.203745578,0.838552323,0.869648764
RRN10,175.9608044,0.089560835,0.178441907,0.501904716,0.615734548,0.683637763
NCL1,1978.483393,0.129332379,0.14832597,0.87194696,0.383237313,0.481876804
MCM2,924.2979132,0.403775573,0.133875626,3.016049938,0.002560911,0.036304978
PIM1,2324.478924,0.272840458,0.149104227,1.829864008,0.067270277,0.195725071
HAP3,166.7995639,0.282869815,0.176014186,1.607085329,0.108035651,0.240461959
RFT1,688.705397,0.264487654,0.153164606,1.726819661,0.084200056,0.216157041
APN2,275.519706,0.438025074,0.14144225,3.096847461,0.001955905,0.030228836
POP8,245.7377498,0.230919735,0.176657301,1.307162135,0.191157652,0.313754366
PEP1,1787.67765,0.193897232,0.1406327,1.37874926,0.167972076,0.294307006
FUS3,1183.81299,0.280517023,0.142404686,1.969858092,0.048854637,0.173785568
ACH1,258.946274,0.827707882,0.176310749,4.694596807,2.67e-06,0.000134472
RRN6,601.429354,0.175875176,0.140251416,1.253999294,0.209842262,0.3299231
FMT1,76.13604705,0.511610725,0.224052992,2.283436261,0.022404683,0.121359994
YBL012C,0.523817048,-0.812519978,2.333554009,-0.348189918,0.727697559,
SCT1,1139.326032,0.2816784,0.133515373,2.109707626,0.034883547,0.151812041
LAA2,253.9459603,0.146559394,0.16800928,0.87232916,0.383028834,0.481823972
ALK2,531.797666,0.098669805,0.160363775,0.615287371,0.538364956,0.616293204
YBL008W-A,6.502745645,0.321895027,0.660287372,0.487507471,0.62589875,
HIR1,502.8658492,0.275934264,0.130847124,2.108829406,0.034959309,0.151812041
SLA1,1949.146494,0.212268993,0.135362854,1.568148025,0.116846591,0.248569198
LDB7,560.0035312,0.125635619,0.164745305,0.762605156,0.445698909,0.536213813
YBL006W-A,7.803327326,0.207822905,0.56041733,0.370835972,0.710759707,0.766074836
PDR3,739.9435396,-0.013750217,0.13325274,-0.103189,0.91781297,0.935261272
YBL005W-B,236.3552375,-0.316586861,0.256670735,-1.233435752,0.217413233,0.336294792
YBL005W-A,0.0,,,,,
UTP20,2535.014366,0.16956684,0.156338997,1.084610001,0.278094424,0.390046401
HTA2,1841.537819,-0.55982536,0.164801965,-3.39695804,0.000681394,0.014663906
HTB2,2698.145235,-0.841384177,0.142932488,-5.886584569,3.94e-09,3.51e-07
ECM15,308.1454023,0.278251593,0.17827734,1.560779368,0.118575817,0.250279985
NTH2,1393.553461,0.461813761,0.129050187,3.578559398,0.000345493,0.008695918
RER2,808.4664436,0.166701355,0.151575424,1.099791445,0.271423001,0.384252034
COQ1,839.2085981,0.248967348,0.133844231,1.860127592,0.062867476,0.190134817
GPI18,464.5735934,0.135605655,0.14989789,0.904653527,0.365648968,0.466550998
RCR1,335.5265697,0.266794497,0.157386344,1.69515658,0.090045721,0.222171281
UGA2,158.1591979,0.292178638,0.169780149,1.720923442,0.085264717,0.217459621
DSF2,545.1592459,0.232487462,0.134268555,1.731510859,0.08336069,0.215306151
FLR1,9283.946572,-1.788418902,0.132368227,-13.51093798,1.35e-41,3.9e-38
HHF1,3094.82804,-0.57013737,0.15632962,-3.647020769,0.000265298,0.007244401
HHT1,4249.559896,-0.364760356,0.149198739,-2.44479516,0.014493443,0.098473374
IPP1,1820.580513,0.178916222,0.153155376,1.168200732,0.242725805,0.358667079
YBR012C,0.0,,,,,
YBR012W-A,0.0,,,,,
YBR013C,0.0,,,,,
GRX7,473.8294162,0.222433484,0.165663295,1.342684171,0.179374262,0.303447576
MNN2,1594.044279,0.205125815,0.138702138,1.478894399,0.139168541,0.269125052
YBR016W,463.1388284,0.197847082,0.161952936,1.221633189,0.221846372,0.340383951
KAP104,1669.024507,0.207817152,0.143757213,1.445612006,0.148286057,0.277988337
GAL7,19.96292413,0.295864666,0.372060176,0.79520649,0.426493397,0.519236651
GAL10,24.62565533,0.358150234,0.392399695,0.912717922,0.361390916,0.461830466
GAL1,33.44112201,0.25082533,0.27707336,0.905266858,0.36532403,0.466239155
FUR4,596.3551305,0.19680375,0.146778517,1.340821215,0.179978506,0.303848228
POA1,203.8153561,0.320832893,0.151679962,2.115196292,0.034413221,0.151151848
CHS3,2542.96554,0.1448784,0.141016949,1.027382887,0.304240207,0.412043712
SCO2,287.371205,0.486671968,0.16714377,2.911696723,0.003594715,0.046141471
OLA1,3777.92715,0.141241206,0.14911365,0.947205079,0.343534288,0.444605408
ETR1,566.4258208,0.333380226,0.14074548,2.368674476,0.017851958,0.110058557
YBR027C,6.139974822,-0.180629173,0.7186829,-0.251333617,0.801556187,
YPK3,808.6890796,0.191024198,0.137559663,1.388664329,0.164934846,0.291277554
CDS1,1273.179717,0.075812172,0.150343276,0.504260473,0.61407835,0.682322373
RKM3,463.2666566,0.218632161,0.157135069,1.391364529,0.164114915,0.290597388
RPL4A,2263.450824,0.095552818,0.163132627,0.585737012,0.558052257,0.633788219
YBR032W,63.65044351,0.461395035,0.210636752,2.190477358,0.028489635,0.136077968
EDS1,125.7078895,0.382432963,0.208087368,1.837848048,0.066084799,0.194195382
HMT1,2127.030772,0.045747175,0.147179356,0.310826031,0.755932879,0.801776372
PDX3,710.10652,0.137465387,0.171404583,0.801993651,0.422556631,0.516398636
CSG2,1821.471013,0.204803965,0.142098185,1.441284877,0.149504218,0.278917151
SCO1,498.2990024,0.317298473,0.15399427,2.06045636,0.039354934,0.159678475
CHS2,1030.930391,0.086676493,0.128638732,0.673797786,0.500439883,0.582555094
ATP3,925.1338331,0.274513967,0.151338924,1.81390193,0.069692826,0.198624946
FIG1,6.683128826,2.670650385,1.17773627,2.267613263,0.023352789,
FAT1,1120.816387,0.237788504,0.144244113,1.648514454,0.099247147,0.231308925
CST26,479.9611675,0.25622491,0.16691059,1.535102773,0.124758585,0.255586289
QDR3,1059.3569,0.078688818,0.13797155,0.570326401,0.568456338,0.64285871
TCM62,633.0003078,0.284736796,0.141365844,2.014183815,0.043990238,0.166275346
GIP1,110.4996477,0.225807045,0.208933173,1.080762051,0.279802973,0.39087341
ZTA1,521.368882,0.260206191,0.143414819,1.814360564,0.069622233,0.198543403
FMP23,399.9465507,0.482119354,0.178504002,2.700888205,0.006915458,0.066437835
RPS11B,1433.984728,-0.002925528,0.140501705,-0.020822013,0.983387638,0.989541289
REB1,1102.078449,0.126112077,0.135753656,0.928977391,0.352900803,0.453282172
REG2,55.8735615,0.62412452,0.261802656,2.383950299,0.017127915,0.107837174
YBR051W,2.767583585,1.724476412,1.173478281,1.469542675,0.141685656,
RFS1,583.1867444,0.228489138,0.146053876,1.564416806,0.117719717,0.249534764
YBR053C,353.5170904,0.150225275,0.1514465,0.991936263,0.321228618,0.426121098
YRO2,813.1638402,-0.776507657,0.149422896,-5.196711326,2.03e-07,1.29e-05
PRP6,741.7746636,0.271285872,0.147447111,1.839885979,0.065784979,0.193707652
YBR056W,582.7468775,0.28977599,0.167252223,1.732568836,0.083172332,0.21527777
MNC1,48.81323902,-0.050065909,0.279353395,-0.179220694,0.857764416,0.886872335
YBR056C-B,10.68570285,0.362717741,0.499961693,0.725491066,0.468150824,0.554558035
MUM2,648.0650188,0.364369218,0.13175426,2.765521338,0.005683189,0.06195853
UBP14,863.1854269,0.232619768,0.139391601,1.668821982,0.095152665,0.227150011
TSC3,315.9398818,0.004850167,0.175452767,0.02764372,0.977946312,0.985264741
AKL1,1482.348074,0.262426472,0.134829348,1.946360168,0.051611491,0.176478984
ORC2,593.1837978,0.413484313,0.142190074,2.907968892,0.003637845,0.046591783
TRM7,517.6878895,0.197409583,0.134822065,1.464223113,0.143132997,0.27283402
YBR062C,304.8613645,0.387995337,0.168948981,2.296523684,0.021645957,0.119857319
YBR063C,208.5404845,0.204033049,0.164345289,1.241490096,0.214424755,0.333953431
YBR064W,0.585711593,-0.745994455,2.42050106,-0.308198359,0.757931401,
ECM2,415.6845108,0.249469952,0.138615847,1.799721723,0.071904589,0.201869868
NRG2,166.4629215,0.16971039,0.174119102,0.974679906,0.329719063,0.433312976
TIP1,1380.486024,0.287875663,0.13870936,2.075387437,0.037950642,0.156996585
BAP2,4453.494573,-0.433344235,0.124163081,-3.490121469,0.000482801,0.011315527
TAT1,2848.019572,-0.125057966,0.142725456,-0.876213463,0.380913999,0.479998072
ALG14,292.075624,0.202619621,0.162227918,1.248981204,0.211671949,0.331537697
YBR071W,793.5429985,-0.492119427,0.146550853,-3.358011354,0.000785054,0.016466221
HSP26,40.75726361,0.875131799,0.330279221,2.649672591,0.008056981,0.072764215
YBR072C-A,8.517731882,0.104932116,0.608033074,0.17257633,0.862984459,0.890837559
RDH54,1430.211307,0.147458597,0.151523237,0.973174812,0.330466427,0.433956412
PFF1,837.6146087,0.303841886,0.158466629,1.917387202,0.055188759,0.181745001
ECM8,23.22663707,0.624195284,0.326410988,1.912298624,0.055837902,0.182298445
YBR076C-A,121.6308259,-0.1355449,0.203022077,-0.667636261,0.504365805,0.585711865
SLM4,364.4740391,0.108410258,0.165427818,0.655332696,0.512253574,0.592731549
RPG1,4248.833252,0.179799704,0.128261925,1.401816661,0.160970002,0.289560764
SEC18,1326.526392,0.261000281,0.138920194,1.87877855,0.060274737,0.187055525
SPT7,1035.875648,0.236981689,0.150086959,1.578962556,0.114344646,0.246677288
UBC4,2207.769539,0.148834723,0.141227353,1.053866125,0.291944214,0.402358132
TEC1,830.8783346,0.046468173,0.14387327,0.322979891,0.746710471,0.794761338
MIS1,1440.437124,0.231488764,0.15280635,1.514915866,0.129793712,0.259722018
RPL19A,2767.296648,0.010427729,0.155846032,0.066910458,0.946652987,0.959582235
AAC3,100.4803442,1.257041411,0.227438183,5.52695855,3.26e-08,2.45e-06
YBR085C-A,567.7963702,-0.245463032,0.160361092,-1.530689456,0.125846161,0.256596308
IST2,2201.24585,0.17441994,0.140785733,1.238903514,0.215381232,0.334728853
RFC5,679.6164304,0.242254101,0.145386219,1.666279675,0.095657723,0.227698421
POL30,909.286934,0.072807445,0.143431359,0.507611764,0.611725639,0.6803319
YBR089W,4.70531083,0.369670873,0.773158169,0.47813098,0.632556983,
NHP6B,119.6345024,-0.070695637,0.210079443,-0.336518585,0.736479839,0.787201217
YBR090C,40.1265061,0.130245033,0.384768149,0.338502636,0.734984441,0.786038228
TIM12,204.8356421,0.221524244,0.173730285,1.27510436,0.202272306,0.32253564
PHO3,1587.11074,-0.286758189,0.150643672,-1.903552843,0.056968445,0.18321685
PHO5,190.8513092,0.157938572,0.192522092,0.820365966,0.412007511,0.506931239
PBY1,598.1361473,0.19871141,0.142585203,1.39363276,0.163428531,0.290478282
RXT2,584.4679272,0.184935657,0.153945439,1.201306501,0.22963233,0.346905416
YBR096W,513.7402636,0.369547507,0.141206397,2.617073415,0.008868726,0.076060826
VPS15,579.6210754,0.24572718,0.133014561,1.84737053,0.064693457,0.192155169
MMS4,245.1865205,0.20126164,0.145501771,1.383224674,0.166595986,0.293048971
YBR099C,40.1270186,0.353261797,0.295439018,1.195718153,0.231806565,0.349164012
FES1,3206.355194,0.138473005,0.14319631,0.967015177,0.333536446,0.436558696
EXO84,726.8646132,0.222034926,0.148696904,1.493204766,0.135383595,0.264938295
SIF2,696.6890425,0.230667815,0.142640189,1.617130606,0.105850092,0.237712305
YBR103C-A,1.870012867,0.8906111,1.307522532,0.681143979,0.495780391,
YMC2,984.8711947,0.647199279,0.161011798,4.019576752,5.83e-05,0.002096365
VID24,1116.827844,-0.405511695,0.112519535,-3.603922603,0.00031345,0.008210699
SND3,1926.0773,0.062903078,0.153057613,0.410976472,0.681089787,0.73879799
IML3,186.9825419,0.279383315,0.177361395,1.575220554,0.115205544,0.24710074
AIM3,427.513116,0.30907994,0.160352319,1.927505269,0.053916692,0.179703802
CMD1,759.1100799,0.07791721,0.144142524,0.540556718,0.588813157,0.661101507
YBR109W-A,32.61361407,0.064448462,0.29652947,0.217342519,0.827941423,0.860648752
ALG1,784.7529448,0.187392849,0.146557103,1.278633693,0.201026079,0.321919771
YSA1,389.7271656,0.312710172,0.160730589,1.945554813,0.051708239,0.176601179
SUS1,180.401579,0.252972246,0.185189361,1.366019329,0.171932897,0.297910667
CYC8,1113.126262,0.066697539,0.160478375,0.415616988,0.677690294,0.736465011
YBR113W,3.297925616,-1.432172452,0.932312,-1.536151474,0.124501234,
RAD16,491.6388346,0.191681825,0.140394759,1.365306136,0.172156851,0.298120255
LYS2,2921.343003,0.1585419,0.156371704,1.013878445,0.310640758,0.41791758
YBR116C,0.9132428,-0.022284111,1.411414652,-0.015788494,0.987403128,
TKL2,18.57907975,0.54212688,0.342786814,1.581527815,0.113757404,0.246438239
TEF2,3166.743126,-0.219287589,0.145619534,-1.505894044,0.132094376,0.261523373
MUD1,348.7827072,0.289393646,0.14132053,2.047782062,0.040581359,0.161977865
CBP6,305.4298595,0.076182878,0.157231184,0.484527787,0.628011349,0.693941153
GRS1,1911.539146,0.224664303,0.166992821,1.345353067,0.178511244,0.302720745
YBR121C-A,0.0,,,,,
MRPL36,695.9550303,0.110469553,0.146813188,0.752449793,0.451780612,0.54148198
TFC1,460.7425549,0.18435783,0.128376701,1.436069229,0.150982643,0.280590215
YBR124W,1.354136913,1.694822181,1.650042959,1.027138216,0.304355386,
PTC4,665.8530037,0.422511913,0.148023007,2.8543665,0.004312275,0.051365763
TPS1,2028.577936,0.094462996,0.122900451,0.768613904,0.442122549,0.532552525
MEO1,13.7242924,0.057999945,0.481076165,0.120562915,0.904037244,0.924151793
YBR126W-B,2.329983403,0.238083505,0.950163,0.250571223,0.802145633,
VMA2,2918.779788,0.255444355,0.144398934,1.769018293,0.076890822,0.207806241
ATG14,78.86614319,0.374387334,0.210130218,1.781692028,0.074799468,0.205805189
OPY1,391.484976,0.168318208,0.147388394,1.142004495,0.253452151,0.368096965
SHE3,936.1629059,0.161468141,0.140271769,1.15110932,0.249687264,0.364641668
CCZ1,348.456791,0.189800766,0.148836944,1.275226164,0.202229203,0.32253564
YBR131C-A,0.0,,,,,
AGP2,891.472376,0.528582133,0.115964404,4.558141244,5.16e-06,0.000240936
HSL7,837.0031087,0.305743015,0.128143685,2.385938989,0.017035577,0.107545208
YBR134W,8.136375284,-0.356686862,1.024332231,-0.348214038,0.727679446,0.78038835
CKS1,352.6522764,0.325735169,0.164022529,1.985917246,0.047042513,0.171414634
MEC1,593.2193869,0.255012863,0.139925849,1.822485729,0.068381317,0.196847064
YBR137W,473.7696885,0.219619241,0.161798937,1.357358988,0.174667173,0.300668529
YBR138C,293.6515284,0.220134358,0.157173198,1.400584583,0.161338334,0.289661299
ATG42,896.4885486,0.222988309,0.13200764,1.689207598,0.091179653,0.222716883
BMT2,222.3429968,0.218308105,0.155548534,1.403472598,0.160475958,0.289560764
YBR141W-A,14.09510854,0.440177539,0.448584852,0.981258143,0.326465458,0.430361177
MAK5,1099.488445,0.238244108,0.173224569,1.375348251,0.169023504,0.295143484
SUP45,2865.960634,0.14896441,0.142232507,1.047330273,0.294947279,0.404896798
YBR144C,4.6198149,-0.143075232,0.893664853,-0.160099428,0.872802752,
ADH5,1178.731274,0.174755558,0.175950362,0.993209423,0.320607907,0.425785541
MRPS9,825.247488,0.219042764,0.140929028,1.554277121,0.120118328,0.251424322
RTC2,126.142929,0.329532553,0.216170061,1.524413469,0.127405458,0.25698613
YSW1,70.56912112,0.558019592,0.211694438,2.635967185,0.008389784,0.074144579
ARA1,1349.391035,0.182437486,0.137439217,1.327404865,0.184374791,0.30768108
TBS1,626.9500291,0.170887568,0.127402702,1.341318243,0.179817149,0.303802303
APD1,1426.685106,-0.072641503,0.135623502,-0.535611468,0.592227101,0.66403306
SPP381,237.488778,0.273225963,0.154481134,1.768668809,0.07694916,0.207866864
RIB7,399.4340042,0.240819456,0.147136501,1.636707788,0.101691541,0.234072497
RPB5,1803.786814,0.127059714,0.160416984,0.792058987,0.428326283,0.520264551
CNS1,484.3201518,0.301958018,0.168944443,1.787321403,0.073885557,0.204652386
SLI15,312.5774198,0.119953444,0.149804527,0.800733108,0.423286171,0.516681997
ICS2,293.541501,0.68775898,0.160791076,4.277345481,1.89e-05,0.000782074
AMN1,1320.488201,-1.142215964,0.140946673,-8.103887374,5.32e-16,1.19e-13
IFA38,1136.700669,0.195097877,0.136377357,1.430573822,0.152552394,0.282018306
CDC28,1043.426174,0.282549962,0.135272071,2.088753132,0.036729951,0.155090947
CSH1,349.265532,0.267001419,0.138861842,1.92278465,0.054507101,0.180538273
TOS1,3253.679835,-0.047655753,0.146741956,-0.324758878,0.745363569,0.793765582
YSY6,392.5487901,-0.004782415,0.221745251,-0.021567157,0.982793232,0.989115094
EXO5,394.7257681,0.2703769,0.163939638,1.649246651,0.099097114,0.231273533
ARL1,738.2312378,0.228394493,0.158868712,1.437630414,0.150538947,0.280035335
UBS1,380.6968518,0.203338722,0.146019799,1.392542132,0.163758293,0.290597388
TYR1,1166.368427,0.27762736,0.149603932,1.855749079,0.063489332,0.190929736
POP7,183.8901568,0.331717429,0.179729262,1.845650651,0.064942947,0.192317843
PEX32,257.962208,0.205288496,0.153806167,1.334722142,0.181967304,0.305840771
SSE2,1135.038897,0.355689885,0.145919436,2.437577169,0.014786058,0.099762808
NPL4,1161.19462,0.344913287,0.134281774,2.56857857,0.010211656,0.082874685
SEC66,702.449762,0.228253372,0.156923504,1.454551842,0.145793371,0.275317467
SMY2,1775.923677,0.210355903,0.134908537,1.55924827,0.11893763,0.250374524
UMP1,719.8569035,0.222524405,0.21800097,1.020749609,0.307373084,0.414774542
YBR174C,8.617177194,0.685093675,0.693708614,0.987581329,0.323357734,0.427866953
SWD3,306.37409,0.157629949,0.151218159,1.042400927,0.297225837,0.406098742
ECM31,543.3324634,0.419919712,0.149352145,2.811608177,0.004929451,0.055954103
EHT1,1176.067346,-0.152465528,0.133189627,-1.144725239,0.252322993,0.366829417
YBR178W,2.570459477,3.27415867,1.310083805,2.499197882,0.012447478,
FZO1,910.4214455,0.207011856,0.147004108,1.408204562,0.159070506,0.288851681
DTR1,10.02494934,0.718480195,0.526863702,1.36369272,0.172664296,0.298468248
RPS6B,1450.014934,-0.042259299,0.15414252,-0.274157315,0.78396373,0.824108595
SMP1,99.91118671,0.11675462,0.181018546,0.64498706,0.518935572,0.599026525
YBR182C-A,13.45399329,0.280044297,0.496423473,0.564123802,0.57266988,0.646991791
YPC1,613.1870643,-0.113537357,0.145988887,-0.777712325,0.436738625,0.526944539
YBR184W,61.96015592,0.135303888,0.234348144,0.577362745,0.563694435,0.638596299
MBA1,470.529028,0.076519496,0.164620298,0.464824187,0.642057365,0.706092342
PCH2,19.0478949,0.679953976,0.465017492,1.462211613,0.14368323,0.273253029
GDT1,792.7093072,0.095363057,0.14311213,0.666352021,0.505186122,0.586546823
NTC20,147.7531274,0.171628544,0.170570471,1.006203143,0.314317861,0.420916115
RPS9B,3118.376782,-0.082921716,0.157124081,-0.527746706,0.597675151,0.668458549
YBR190W,2.773140949,0.272794036,0.938490578,0.290673175,0.771301289,
RPL21A,1638.475625,-0.013655418,0.155120373,-0.088031108,0.929851952,0.945864162
YBR191W-A,0.166434689,0.0,4.635257994,0.0,1.0,
RIM2,813.3680299,0.190325777,0.150565586,1.264072231,0.206204103,0.3266481
MED8,345.9381216,0.274663717,0.154658937,1.775931759,0.075744166,0.206249612
AIM4,197.3795233,0.30289358,0.174947822,1.731336676,0.083391734,0.215306151
MSI1,325.7522044,0.440655154,0.144044252,3.059165126,0.002219548,0.033460838
PGI1,6353.315184,-0.591430669,0.153067045,-3.863866769,0.000111606,0.00347359
YBR196C-A,16.99392872,0.006638626,0.418403316,0.015866571,0.987340839,0.992631184
YBR196C-B,30.71537572,-0.791720931,0.348993738,-2.268582056,0.023293754,0.124368194
YBR197C,263.0944111,0.184944218,0.158874241,1.164091909,0.244386767,0.360080172
TAF5,929.65038,0.172327647,0.145285516,1.186130954,0.235570588,0.351866848
KTR4,1644.029557,0.194867867,0.129847237,1.500747124,0.133420979,0.26298061
BEM1,764.9779766,0.396810539,0.148154798,2.678350924,0.007398566,0.069529704
YBR200W-A,0.147899277,0.215797514,4.851524294,0.044480353,0.964521512,
DER1,264.7691839,0.280095565,0.15282311,1.832808958,0.066830987,0.195692757
MIN7,56.90274473,0.625698465,0.245703952,2.546554337,0.010879227,0.0848785
MCM7,1411.343857,0.38423167,0.131883656,2.913413857,0.003575005,0.04609076
COS111,537.8802901,0.307040719,0.145136306,2.11553351,0.034384502,0.151140381
LDH1,378.5317474,0.342169479,0.15847347,2.159159379,0.030837804,0.142247051
KTR3,693.9947222,0.191648999,0.149089961,1.285458777,0.198632013,0.319411312
YBR206W,14.35181742,0.371963758,0.427836514,0.869406294,0.384624942,0.482992145
FTH1,1538.00602,0.322098946,0.143789441,2.240073712,0.025086138,0.128289445
"DUR1,2",611.5968969,-0.017632943,0.158811955,-0.111030328,0.911592297,0.930560361
YBR209W,3.668229104,0.824825569,0.95107167,0.867259109,0.385800056,
ERV15,287.9804537,0.338809581,0.166830922,2.030856015,0.042269603,0.163977972
AME1,287.8245376,0.15180461,0.147267163,1.030810989,0.302629464,0.410863501
NGR1,911.6761049,0.356997432,0.139353162,2.56181796,0.010412588,0.0831225
MET8,76.39794568,0.455648094,0.206633942,2.205098012,0.027447218,0.133739848
SDS24,533.8814102,0.439496599,0.154689917,2.841145742,0.004495176,0.052891415
HPC2,529.155881,0.2405539,0.140895349,1.707323213,0.087761994,0.219556691
YBP1,643.8054663,0.254069539,0.121555312,2.090155784,0.036603808,0.15495591
ATG12,156.181807,0.260573566,0.171616124,1.518351304,0.128925861,0.258763731
PYC2,2045.680637,0.167212217,0.148390383,1.126839985,0.259810141,0.373581944
YBR219C,0.686260787,0.215799551,2.157417041,0.100026813,0.920323038,
YBR220C,540.1333843,0.306291025,0.155380242,1.971235345,0.048696963,0.173785568
PDB1,1330.597182,0.318027724,0.136968823,2.321898638,0.020238394,0.116872319
YBR221W-A,0.062912367,0.0,6.006310083,0.0,1.0,
PCS60,914.8918644,0.281745379,0.149087034,1.889804713,0.058784083,0.185276395
TDP1,305.3977362,0.199021548,0.146039755,1.362790209,0.172948638,0.29859817
YBR223W-A,0.04408223,0.0,6.006310083,0.0,1.0,
