name,dependence
MIS1,tail_independent
AAC3,tail_independent
IST2,tail_independent
RFC5,tail_independent
POL30,tail_independent
YBR089W,not_checked
YBR090C,no_call
TIM12,tail_independent
PHO3,tail_independent
PHO5,tail_dependent
PBY1,tail_independent
RXT2,tail_independent
YBR096W,tail_independent
VPS15,tail_independent
MMS4,tail_independent
YBR099C,not_checked
[],tail_independent
FES1,tail_independent
EXO84,tail_independent
SIF2,tail_independent
YMC2,tail_independent
VID24,tail_dependent
SND3,tail_independent
IML3,tail_independent
AIM3,tail_independent
CMD1,tail_independent
ALG1,tail_independent
YSA1,tail_independent
CYC8,tail_independent
YBR113W,not_checked
RAD16,tail_independent
LYS2,no_call
YBR116C,not_checked
TKL2,no_call
TEF2,tail_independent
MUD1,tail_independent
CBP6,tail_independent
GRS1,tail_independent
MRPL36,tail_independent
TFC1,tail_independent
YBR124W,not_checked
PTC4,tail_independent
TPS1,tail_dependent
VMA2,tail_independent
ATG14,tail_independent
OPY1,tail_independent
SHE3,tail_independent
CCZ1,tail_independent
AGP2,tail_independent
HSL7,tail_independent
YBR134W,not_checked
CKS1,tail_independent
MEC1,tail_independent
YBR137W,tail_independent
YBR138C,tail_independent
ATG42,tail_independent
IRA1,tail_independent
BMT2,tail_independent
MAK5,tail_independent
SUP45,tail_independent
YBR144C,not_checked
ADH5,tail_independent
MRPS9,tail_independent
RTC2,no_call
YSW1,no_call
ARA1,tail_independent
TBS1,tail_independent
APD1,tail_independent
SPP381,tail_independent
RIB7,tail_independent
RPB5,tail_independent
CNS1,tail_independent
SLI15,tail_independent
ICS2,not_checked
AMN1,tail_dependent
IFA38,tail_independent
CDC28,tail_independent
CSH1,tail_independent
TOS1,tail_independent
EXO5,tail_independent
ARL1,tail_independent
UBS1,tail_independent
TYR1,tail_independent
POP7,tail_independent
PEX32,tail_independent
SSE2,tail_independent
NPL4,tail_independent
SEC66,tail_independent
SMY2,tail_independent
UMP1,tail_independent
YBR174C,not_checked
SWD3,tail_independent
ECM31,tail_independent
EHT1,tail_independent
YBR178W,not_checked
FZO1,tail_independent
DTR1,no_call
RPS6B,tail_independent
SMP1,no_call
YPC1,no_call
YBR184W,no_call
MBA1,tail_independent
PCH2,no_call
GDT1,tail_independent
NTC20,tail_independent
RPS9B,tail_independent
YBR190W,not_checked
RPL21A,tail_independent
RIM2,tail_independent
MED8,tail_independent
AIM4,tail_independent
MSI1,tail_independent
PGI1,tail_dependent
YBR197C,tail_independent
TAF5,tail_independent
KTR4,tail_independent
BEM1,tail_independent
DER1,tail_independent
MCM7,tail_independent
COS111,no_call
LDH1,tail_independent
KTR3,tail_independent
YBR206W,not_checked
FTH1,tail_independent
"DUR1,2",tail_independent
YBR209W,not_checked
ERV15,tail_independent
AME1,tail_independent
NGR1,tail_independent
MET8,tail_independent
SDS24,tail_independent
HPC2,tail_independent
YBP1,tail_independent
ATG12,tail_independent
PYC2,tail_independent
YBR219C,not_checked
YBR220C,tail_independent
PDB1,tail_independent
PCS60,tail_independent
TDP1,tail_independent
YBR224W,not_checked
YBR225W,tail_independent
YBR226C,not_checked
MCX1,tail_independent
SLX1,tail_independent
ROT2,tail_independent
OM14,tail_independent
SWC5,tail_independent
YBR232C,not_checked
PBP2,tail_independent
ARC40,tail_independent
VHC1,tail_independent
ABD1,tail_independent
PRP5,tail_independent
YBR238C,tail_independent
ERT1,tail_independent
THI2,no_call
YBR241C,no_call
YBR242W,tail_independent
ALG7,tail_independent
GPX2,tail_independent
ISW1,tail_independent
RRT2,tail_independent
ENP1,tail_independent
HIS7,tail_independent
ARO4,tail_independent
SPO23,no_call
MRPS5,tail_independent
DUT1,tail_independent
SRB6,tail_independent
TRS20,tail_independent
MTC4,tail_independent
RIB5,tail_independent
POP4,tail_independent
SHG1,tail_independent
YBR259W,tail_independent
RGD1,tail_independent
TAE1,tail_independent
MIC12,tail_independent
SHM1,tail_independent
YPT10,tail_independent
TSC10,tail_independent
SLM6,not_checked
REI1,tail_independent
MRPL37,tail_independent
SDH8,tail_independent
BIT2,no_call
EFM2,tail_independent
HSM3,tail_independent
UBX7,tail_independent
CHK1,tail_independent
RIF1,tail_independent
PPS1,tail_independent
